CORE_CN,STATECD,COUNTYCD,PLOT,FIADB_PLOT,SUBP,TREE,DIA,MEASYEAR,LAT,LON,ELEV,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,VERIFY,REVISIT,INVYR,PLOT_CN,TRE_CN
289860692489998,30,39,122,NA,1,1,6.3,1997,46.302392,-113.06163,7400,NA,NA,NA,n,151,n,y,1989,3006125010690,3006137010690
289860693489998,30,39,122,NA,1,2,8.1,1997,46.302392,-113.06163,7400,1.8,7.6,1.5,n,180,NA,NA,1989,3006125010690,3006138010690
289860694489998,30,39,123,NA,1,1,24.5,1997,46.249263,-113.709617,7700,NA,NA,NA,n,89,n,y,1989,3006175010690,3006186010690
289860736489998,30,39,163,NA,1,6,6,1997,46.069668,-113.40985,8100,0.4,2.7,1.9,n,125,n,y,1989,3007747010690,3007765010690
289860739489998,30,39,166,NA,2,3,8,1997,46.013678,-113.583104,7700,0.9,6.7,1.1,n,137,n,y,1989,3007939010690,3007954010690
289860740489998,30,39,166,NA,3,1,9,1997,46.013678,-113.583104,7700,0.6,4.8,0.9,n,153,n,y,1989,3007939010690,3007958010690
289860748489998,30,39,170,NA,1,7,8.8,1997,46.038319,-113.315433,7900,NA,NA,NA,y,174,n,y,1989,3008116010690,3008135010690
289859808489998,30,29,58,NA,5,5,17.7,1993,48.769873,-114.490028,7000,0.9,14.1,1,n,385,n,y,1989,2974850010690,2974881010690
289859822489998,30,29,73,NA,4,3,5,1993,48.733292,-114.422484,6500,NA,NA,NA,n,35,n,y,1989,2975143010690,2975161010690
289859834489998,30,29,87,NA,2,1,8.9,1993,48.669875,-114.484134,6400,NA,NA,NA,y,122,n,n,1989,2975322010690,2975337010690
289859843489998,30,29,106,NA,3,1,7.4,1993,48.647214,-114.356269,5800,0.2,2.4,2,n,59,y,n,1989,2976020010690,2976031010690
289859845489998,30,29,106,NA,5,1,7.6,1993,48.647214,-114.356269,5800,2.4,15.4,2,n,45,y,n,1989,2976020010690,2976039010690
289859874489998,30,29,143,NA,1,2,10.9,1993,48.536487,-114.276688,6600,0.9,4.3,0.8,n,432,NA,NA,1989,2977006010690,2977016010690
289860037489998,30,29,312,NA,6,1,8.5,1993,48.249579,-113.30846,6600,NA,NA,NA,y,86,NA,NA,1989,2981705010690,2981725010690
289860084489998,30,29,364,NA,3,5,22.6,1994,48.149373,-113.279755,6700,0.4,7.6,1.1,n,384,NA,NA,1989,2983273010690,2983302010690
289860194489998,30,29,453,NA,3,2,17.7,1994,48.010678,-112.943749,6700,1.3,13.2,1.3,n,350,NA,NA,1989,2986140010690,2986152010690
289860231489998,30,29,491,NA,1,4,10.8,1994,47.937322,-113.073563,7100,NA,NA,NA,y,396,NA,NA,1989,2987553010690,2987563010690
289860235489998,30,29,500,NA,1,1,11.9,1994,47.883233,-113.527554,7100,NA,NA,NA,y,233,NA,NA,1989,2987753010690,2987762010690
289860286489998,30,29,530,NA,3,3,13.8,1994,47.732534,-113.464227,7400,0.9,7.6,0.9,n,213,NA,NA,1989,2988755010690,2988769010690
289860305489998,30,29,540,NA,5,2,31.2,1993,47.692887,-113.247772,6800,0.4,7.5,1,n,275,NA,NA,1989,2989041010690,2989067010690
289860325489998,30,29,552,NA,4,2,4.9,1993,47.601359,-113.452576,7100,0.6,4.9,1.2,n,47,NA,NA,1989,2989542010690,2989555010690
289860339489998,30,31,65,NA,3,3,5.4,1997,45.915059,-111.014964,8300,0.7,8.8,0.8,n,53,NA,NA,1989,2992746010690,2992760010690
289860620489998,30,39,55,NA,3,1,8.9,1996,NA,NA,NA,NA,NA,NA,y,65,n,y,NA,3003610010690,3003637010690
289860926489998,30,45,174,NA,4,6,11.4,1996,46.782634,-110.53702,7900,1.9,18.7,2,n,215,NA,NA,1989,3017612010690,3017657010690
289860939489998,30,45,187,NA,1,1,8.7,1996,46.737584,-110.524315,7400,1,6,3,n,83,NA,NA,1989,3017946010690,3017956010690
289860986489998,30,47,62,NA,3,2,13.9,1993,47.767274,-113.680758,6500,0.9,5.4,0.9,n,161,n,y,1989,3020373010690,3020388010690
289861078489998,30,49,15,NA,3,3,12.1,1996,47.656202,-112.993146,6800,0.6,12.7,2.4,n,165,n,y,1989,3023957010690,3023986010690
289861104489998,30,49,36,NA,4,4,9.7,1996,47.510639,-112.980985,7300,0.3,5.6,0.4,n,394,n,y,1989,3024763010690,3024808010690
289861883489998,30,57,108,NA,1,2,14.4,1997,45.520783,-112.018743,9000,2.7,5,1.8,n,111,NA,NA,1989,3060283010690,3060314010690
289861925489998,30,57,239,NA,1,1,7.6,1997,45.192101,-111.494727,7800,0.3,2.8,2.6,n,52,NA,NA,1989,3062788010690,3062798010690
289861927489998,30,57,240,NA,3,3,9.1,1997,45.200401,-111.446415,9400,1.2,7.3,1.1,n,67,NA,NA,1989,3062802010690,3062820010690
289861940489998,30,57,257,NA,2,4,14.9,1997,45.166244,-111.433423,8500,NA,NA,NA,n,188,NA,NA,1989,3063258010690,3063272010690
289861949489998,30,57,283,NA,4,1,23.1,1997,45.065,-111.834051,8500,0.9,10.1,1.6,n,214,NA,NA,1989,3063873010690,3063911010690
289861963489998,30,57,305,NA,2,2,14.5,1997,45.025814,-111.433633,8700,1,17.8,2.2,n,166,NA,NA,1989,3064304010690,3064316010690
289861964489998,30,57,312,NA,1,1,13.4,1997,44.982354,-111.810021,9100,0.7,5,0.6,n,178,NA,NA,1989,3064446010690,3064468010690
