Year,CN,RW
1981,22T1759,0.54
1982,22T1759,0.58
1983,22T1759,0.58
1984,22T1759,0.43
1985,22T1759,0.4
1986,22T1759,0.5
1987,22T1759,0.42
1988,22T1759,0.48
1989,22T1759,0.4
1990,22T1759,0.35
1991,22T1759,0.44
1992,22T1759,0.46
1993,22T1759,0.39
1994,22T1759,0.51
1995,22T1759,0.53
1996,22T1759,0.42
1997,22T1759,0.55
1998,22T1759,0.53
1999,22T1759,0.51
2000,22T1759,0.43
2001,22T1759,0.36
2002,22T1759,0.64
2003,22T1759,1.3
2004,22T1759,0.6
2005,22T1759,1.39
2006,22T1759,2.04
2007,22T1759,1.99
2008,22T1759,2.27
2009,22T1759,2.05
2010,22T1759,2.03
2011,22T1759,2.28
2012,22T1759,1.55
2013,22T1759,1.63
2014,22T1759,1.18
2015,22T1759,1.22
2016,22T1759,1.91
2017,22T1759,1.78
2018,22T1759,1.62
2019,22T1759,2.06
2020,22T1759,1.67
2021,22T1759,1.5
1947,22T1760,0.38
1948,22T1760,0.35
1949,22T1760,0.39
1950,22T1760,0.22
1951,22T1760,0.2
1952,22T1760,0.33
1953,22T1760,0.41
1954,22T1760,0.53
1955,22T1760,0.65
1956,22T1760,0.47
1957,22T1760,0.64
1958,22T1760,0.52
1959,22T1760,0.66
1960,22T1760,0.6
1961,22T1760,0.69
1962,22T1760,0.71
1963,22T1760,0.71
1964,22T1760,0.71
1965,22T1760,0.89
1966,22T1760,0.58
1967,22T1760,0.9
1968,22T1760,0.66
1969,22T1760,0.68
1970,22T1760,0.95
1971,22T1760,0.56
1972,22T1760,0.65
1973,22T1760,0.71
1974,22T1760,0.9
1975,22T1760,0.91
1976,22T1760,0.14
1977,22T1760,0.29
1978,22T1760,0.55
1979,22T1760,0.45
1980,22T1760,0.53
1981,22T1760,0.65
1982,22T1760,1.05
1983,22T1760,0.95
1984,22T1760,1.03
1985,22T1760,1.17
1986,22T1760,1.02
1987,22T1760,0.67
1988,22T1760,1.31
1989,22T1760,1.01
1990,22T1760,0.83
1991,22T1760,1.07
1992,22T1760,0.81
1993,22T1760,0.97
1994,22T1760,1.06
1995,22T1760,0.99
1996,22T1760,0.83
1997,22T1760,0.63
1998,22T1760,0.81
1999,22T1760,0.91
2000,22T1760,0.99
2001,22T1760,0.93
2002,22T1760,1.18
2003,22T1760,1.43
2004,22T1760,0.47
2005,22T1760,1.05
2006,22T1760,1.36
2007,22T1760,1.74
2008,22T1760,1.77
2009,22T1760,1.66
2010,22T1760,1.45
2011,22T1760,1.48
2012,22T1760,1.94
2013,22T1760,1.99
2014,22T1760,1.91
2015,22T1760,1.91
2016,22T1760,2.02
2017,22T1760,2.57
2018,22T1760,2.72
2019,22T1760,2.64
2020,22T1760,2.7
2021,22T1760,2.65
1981,22T1778,1.81
1982,22T1778,2.56
1983,22T1778,1.68
1984,22T1778,1.17
1985,22T1778,0.86
1986,22T1778,0.49
1987,22T1778,0.83
1988,22T1778,0.92
1989,22T1778,1.14
1990,22T1778,1.47
1991,22T1778,1.79
1992,22T1778,1.9
1993,22T1778,2.03
1994,22T1778,1.94
1995,22T1778,1.82
1996,22T1778,1.35
1997,22T1778,1.53
1998,22T1778,1.07
1999,22T1778,1.36
2000,22T1778,1.49
2001,22T1778,1.55
2002,22T1778,1.99
2003,22T1778,2.19
2004,22T1778,2.04
2005,22T1778,2.24
2006,22T1778,2.64
2007,22T1778,2.07
2008,22T1778,1.68
2009,22T1778,2.28
2010,22T1778,1.39
2011,22T1778,1.79
2012,22T1778,1.42
2013,22T1778,2.51
2014,22T1778,2.6
2015,22T1778,2.56
2016,22T1778,2.17
2017,22T1778,2.24
2018,22T1778,2.39
2019,22T1778,2.51
2020,22T1778,2.01
2021,22T1778,2.17
1979,22T1779,1.93
1980,22T1779,2.12
1981,22T1779,1.56
1982,22T1779,1.93
1983,22T1779,1.54
1984,22T1779,1.44
1985,22T1779,1.1
1986,22T1779,0.95
1987,22T1779,1.14
1988,22T1779,1.25
1989,22T1779,1.19
1990,22T1779,1.03
1991,22T1779,1.51
1992,22T1779,1.28
1993,22T1779,1.84
1994,22T1779,1.74
1995,22T1779,1.65
1996,22T1779,1.12
1997,22T1779,1.27
1998,22T1779,1.69
1999,22T1779,1.85
2000,22T1779,1.49
2001,22T1779,1.07
2002,22T1779,1.08
2003,22T1779,1.29
2004,22T1779,0.95
2005,22T1779,1.32
2006,22T1779,1.16
2007,22T1779,0.92
2008,22T1779,1.16
2009,22T1779,1.15
2010,22T1779,0.8
2011,22T1779,0.82
2012,22T1779,0.77
2013,22T1779,1.34
2014,22T1779,1.41
2015,22T1779,1.32
2016,22T1779,1.51
2017,22T1779,1.14
2018,22T1779,1.01
2019,22T1779,1.71
2020,22T1779,1.76
2021,22T1779,1.95
1900,22T1780,1.54
1901,22T1780,1.58
1902,22T1780,1.66
1903,22T1780,1.97
1904,22T1780,1.67
1905,22T1780,1.68
1906,22T1780,1.76
1907,22T1780,1.61
1908,22T1780,1.73
1909,22T1780,1.6
1910,22T1780,1.33
1911,22T1780,1.14
1912,22T1780,0.89
1913,22T1780,1.04
1914,22T1780,1.1
1915,22T1780,0.88
1916,22T1780,0.57
1917,22T1780,0.6
1918,22T1780,0.71
1919,22T1780,0.51
1920,22T1780,0.59
1921,22T1780,0.47
1922,22T1780,0.74
1923,22T1780,0.84
1924,22T1780,0.68
1925,22T1780,0.79
1926,22T1780,0.92
1927,22T1780,1.2
1928,22T1780,1.05
1929,22T1780,1.03
1930,22T1780,0.72
1931,22T1780,1.02
1932,22T1780,1.2
1933,22T1780,1.08
1934,22T1780,1.47
1935,22T1780,1.15
1936,22T1780,1.29
1937,22T1780,1.49
1938,22T1780,1.73
1939,22T1780,1.97
1940,22T1780,1.76
1941,22T1780,1.54
1942,22T1780,0.97
1943,22T1780,1.55
1944,22T1780,1.46
1945,22T1780,0.99
1946,22T1780,1.26
1947,22T1780,1.02
1948,22T1780,1.47
1949,22T1780,1.59
1950,22T1780,1.43
1951,22T1780,1.47
1952,22T1780,1.42
1953,22T1780,1.36
1954,22T1780,1.1
1955,22T1780,1.41
1956,22T1780,1.31
1957,22T1780,1.66
1958,22T1780,1.29
1959,22T1780,1.81
1960,22T1780,1.25
1961,22T1780,1.3
1962,22T1780,1.17
1963,22T1780,1.4
1964,22T1780,1.76
1965,22T1780,1.49
1966,22T1780,1.02
1967,22T1780,1.68
1968,22T1780,1.29
1969,22T1780,1.19
1970,22T1780,1.22
1971,22T1780,1.18
1972,22T1780,1.2
1973,22T1780,1.23
1974,22T1780,1.57
1975,22T1780,1.32
1976,22T1780,1.35
1977,22T1780,1.53
1978,22T1780,1.17
1979,22T1780,1.26
1980,22T1780,1.63
1981,22T1780,1.31
1982,22T1780,1.34
1983,22T1780,1.21
1984,22T1780,1.62
1985,22T1780,1.52
1986,22T1780,1.64
1987,22T1780,1.23
1988,22T1780,1.4
1989,22T1780,0.88
1990,22T1780,1
1991,22T1780,1.55
1992,22T1780,1.37
1993,22T1780,1.4
1994,22T1780,1.56
1995,22T1780,1.12
1996,22T1780,1.06
1997,22T1780,1.41
1998,22T1780,1.19
1999,22T1780,1.06
2000,22T1780,1.11
2001,22T1780,1
2002,22T1780,1.02
2003,22T1780,1.26
2004,22T1780,1.06
2005,22T1780,1.33
2006,22T1780,1.18
2007,22T1780,0.9
2008,22T1780,1.13
2009,22T1780,1.01
2010,22T1780,1.2
2011,22T1780,1.22
2012,22T1780,1.22
2013,22T1780,1.21
2014,22T1780,1.08
2015,22T1780,1.58
2016,22T1780,1.5
2017,22T1780,1.12
2018,22T1780,1.37
2019,22T1780,1.42
2020,22T1780,1.11
2021,22T1780,1.41
1981,22T1823,1.13
1982,22T1823,0.9
1983,22T1823,1
1984,22T1823,1.33
1985,22T1823,1.21
1986,22T1823,0.83
1987,22T1823,0.99
1988,22T1823,0.99
1989,22T1823,0.87
1990,22T1823,0.99
1991,22T1823,1.19
1992,22T1823,1.35
1993,22T1823,1.18
1994,22T1823,1.05
1995,22T1823,1.11
1996,22T1823,0.12
1997,22T1823,0.53
1998,22T1823,0.82
1999,22T1823,0.73
2000,22T1823,0.96
2001,22T1823,0.56
2002,22T1823,1.16
2003,22T1823,0.92
2004,22T1823,1.09
2005,22T1823,1.3
2006,22T1823,1.6
2007,22T1823,1.32
2008,22T1823,1.62
2009,22T1823,1.45
2010,22T1823,1.13
2011,22T1823,0.87
2012,22T1823,1.24
2013,22T1823,1.47
2014,22T1823,1.44
2015,22T1823,1.51
2016,22T1823,1.63
2017,22T1823,1.72
2018,22T1823,2.14
2019,22T1823,1.88
2020,22T1823,1.65
2021,22T1823,1.95
1745,22T1845,1.18
1746,22T1845,1.16
1747,22T1845,2
1748,22T1845,1.53
1749,22T1845,1.11
1750,22T1845,1.56
1751,22T1845,1.31
1752,22T1845,1.13
1753,22T1845,1.35
1754,22T1845,1.37
1755,22T1845,1.32
1756,22T1845,1.63
1757,22T1845,1.2
1758,22T1845,1.15
1759,22T1845,1.47
1760,22T1845,1.65
1761,22T1845,1.3
1762,22T1845,1.38
1763,22T1845,1.2
1764,22T1845,1.24
1765,22T1845,1.63
1766,22T1845,1.52
1767,22T1845,1.57
1768,22T1845,1.37
1769,22T1845,1.39
1770,22T1845,1.48
1771,22T1845,1.52
1772,22T1845,1.52
1773,22T1845,1.49
1774,22T1845,1.44
1775,22T1845,1.38
1776,22T1845,1.79
1777,22T1845,1.39
1778,22T1845,1.37
1779,22T1845,1.02
1780,22T1845,0.87
1781,22T1845,1.59
1782,22T1845,1.74
1783,22T1845,1.67
1784,22T1845,1.71
1785,22T1845,1.38
1786,22T1845,1.4
1787,22T1845,1.37
1788,22T1845,1.23
1789,22T1845,1.24
1790,22T1845,1.3
1791,22T1845,0.97
1792,22T1845,1.31
1793,22T1845,1.46
1794,22T1845,1.36
1795,22T1845,1.35
1796,22T1845,0.99
1797,22T1845,0.97
1798,22T1845,1.65
1799,22T1845,1.44
1800,22T1845,1.62
1801,22T1845,1.85
1802,22T1845,1.78
1803,22T1845,1.53
1804,22T1845,1.55
1805,22T1845,1.18
1806,22T1845,1.2
1807,22T1845,1.25
1808,22T1845,1.22
1809,22T1845,1.14
1810,22T1845,1.17
1811,22T1845,1.14
1812,22T1845,1.22
1813,22T1845,1
1814,22T1845,0.75
1815,22T1845,0.94
1816,22T1845,0.76
1817,22T1845,0.84
1818,22T1845,0.81
1819,22T1845,1.07
1820,22T1845,1.23
1821,22T1845,1.07
1822,22T1845,0.96
1823,22T1845,1.13
1824,22T1845,0.76
1825,22T1845,0.68
1826,22T1845,0.88
1827,22T1845,1
1828,22T1845,0.86
1829,22T1845,0.84
1830,22T1845,0.83
1831,22T1845,0.97
1832,22T1845,1.01
1833,22T1845,1.02
1834,22T1845,0.89
1835,22T1845,1.07
1836,22T1845,1.01
1837,22T1845,0.78
1838,22T1845,0.32
1839,22T1845,0.8
1840,22T1845,0.75
1841,22T1845,0.76
1842,22T1845,0.69
1843,22T1845,0.83
1844,22T1845,0.69
1845,22T1845,0.74
1846,22T1845,0.95
1847,22T1845,0.77
1848,22T1845,1
1849,22T1845,0.74
1850,22T1845,0.78
1851,22T1845,0.76
1852,22T1845,0.94
1853,22T1845,0.88
1854,22T1845,1.15
1855,22T1845,0.85
1856,22T1845,1.07
1857,22T1845,1.03
1858,22T1845,0.91
1859,22T1845,1.07
1860,22T1845,0.9
1861,22T1845,0.84
1862,22T1845,1.12
1863,22T1845,0.93
1864,22T1845,0.77
1865,22T1845,0.64
1866,22T1845,0.78
1867,22T1845,0.67
1868,22T1845,0.87
1869,22T1845,1.07
1870,22T1845,1.18
1871,22T1845,1.02
1872,22T1845,0.78
1873,22T1845,0.94
1874,22T1845,1.07
1875,22T1845,0.76
1876,22T1845,0.77
1877,22T1845,0.71
1878,22T1845,0.66
1879,22T1845,0.61
1880,22T1845,0.76
1881,22T1845,0.93
1882,22T1845,0.91
1883,22T1845,0.72
1884,22T1845,0.93
1885,22T1845,0.73
1886,22T1845,0.97
1887,22T1845,0.69
1888,22T1845,0.58
1889,22T1845,0.82
1890,22T1845,0.77
1891,22T1845,0.89
1892,22T1845,0.96
1893,22T1845,0.91
1894,22T1845,0.82
1895,22T1845,0.72
1896,22T1845,0.8
1897,22T1845,0.8
1898,22T1845,0.88
1899,22T1845,0.84
1900,22T1845,0.84
1901,22T1845,0.95
1902,22T1845,0.82
1903,22T1845,0.85
1904,22T1845,0.83
1905,22T1845,0.71
1906,22T1845,0.57
1907,22T1845,0.67
1908,22T1845,0.67
1909,22T1845,0.85
1910,22T1845,0.78
1911,22T1845,0.62
1912,22T1845,0.69
1913,22T1845,0.71
1914,22T1845,0.75
1915,22T1845,0.45
1916,22T1845,0.51
1917,22T1845,0.6
1918,22T1845,0.52
1919,22T1845,0.67
1920,22T1845,0.57
1921,22T1845,0.69
1922,22T1845,0.59
1923,22T1845,0.58
1924,22T1845,0.7
1925,22T1845,0.57
1926,22T1845,0.69
1927,22T1845,0.83
1928,22T1845,0.86
1929,22T1845,0.85
1930,22T1845,0.71
1931,22T1845,0.91
1932,22T1845,0.74
1933,22T1845,0.76
1934,22T1845,0.52
1935,22T1845,0.47
1936,22T1845,0.56
1937,22T1845,0.63
1938,22T1845,0.75
1939,22T1845,0.83
1940,22T1845,0.74
1941,22T1845,0.58
1942,22T1845,0.65
1943,22T1845,0.67
1944,22T1845,0.61
1945,22T1845,0.58
1946,22T1845,0.62
1947,22T1845,0.67
1948,22T1845,0.87
1949,22T1845,0.7
1950,22T1845,0.67
1951,22T1845,0.62
1952,22T1845,0.94
1953,22T1845,0.89
1954,22T1845,0.72
1955,22T1845,0.6
1956,22T1845,0.68
1957,22T1845,0.77
1958,22T1845,0.89
1959,22T1845,1.02
1960,22T1845,0.84
1961,22T1845,0.72
1962,22T1845,0.59
1963,22T1845,0.69
1964,22T1845,0.62
1965,22T1845,0.7
1966,22T1845,0.57
1967,22T1845,0.78
1968,22T1845,0.78
1969,22T1845,0.62
1970,22T1845,1.05
1971,22T1845,0.77
1972,22T1845,0.78
1973,22T1845,0.89
1974,22T1845,0.83
1975,22T1845,0.81
1976,22T1845,0.76
1977,22T1845,0.73
1978,22T1845,0.82
1979,22T1845,0.66
1980,22T1845,0.8
1981,22T1845,0.62
1982,22T1845,0.79
1983,22T1845,0.8
1984,22T1845,1.09
1985,22T1845,0.98
1986,22T1845,0.94
1987,22T1845,0.99
1988,22T1845,0.9
1989,22T1845,0.47
1990,22T1845,0.47
1991,22T1845,0.89
1992,22T1845,0.69
1993,22T1845,0.81
1994,22T1845,1.13
1995,22T1845,0.87
1996,22T1845,0.89
1997,22T1845,0.62
1998,22T1845,0.68
1999,22T1845,0.91
2000,22T1845,0.65
2001,22T1845,0.6
2002,22T1845,0.68
2003,22T1845,0.87
2004,22T1845,0.48
2005,22T1845,0.76
2006,22T1845,0.62
2007,22T1845,0.5
2008,22T1845,0.61
2009,22T1845,0.54
2010,22T1845,0.49
2011,22T1845,0.89
2012,22T1845,0.67
2013,22T1845,0.55
2014,22T1845,0.66
2015,22T1845,0.63
2016,22T1845,0.77
2017,22T1845,0.89
2018,22T1845,0.97
2019,22T1845,0.88
2020,22T1845,0.66
2021,22T1845,0.85
1932,22T1888,0.67
1933,22T1888,0.51
1934,22T1888,1.07
1935,22T1888,1.2
1936,22T1888,1.11
1937,22T1888,0.98
1938,22T1888,1.4
1939,22T1888,1.18
1940,22T1888,0.9
1941,22T1888,0.89
1942,22T1888,1.17
1943,22T1888,0.98
1944,22T1888,0.77
1945,22T1888,1.16
1946,22T1888,1.4
1947,22T1888,1.14
1948,22T1888,1.34
1949,22T1888,1.31
1950,22T1888,1.73
1951,22T1888,1.15
1952,22T1888,1.41
1953,22T1888,1.37
1954,22T1888,1.27
1955,22T1888,1.8
1956,22T1888,1.27
1957,22T1888,1.03
1958,22T1888,1.18
1959,22T1888,0.86
1960,22T1888,0.89
1961,22T1888,0.96
1962,22T1888,0.59
1963,22T1888,0.92
1964,22T1888,1.05
1965,22T1888,0.96
1966,22T1888,0.96
1967,22T1888,0.89
1968,22T1888,0.74
1969,22T1888,0.75
1970,22T1888,0.98
1971,22T1888,0.81
1972,22T1888,0.81
1973,22T1888,1.02
1974,22T1888,0.64
1975,22T1888,0.59
1976,22T1888,0.74
1977,22T1888,0.77
1978,22T1888,0.71
1979,22T1888,0.81
1980,22T1888,0.7
1981,22T1888,0.88
1982,22T1888,0.98
1983,22T1888,0.65
1984,22T1888,0.79
1985,22T1888,0.91
1986,22T1888,0.76
1987,22T1888,0.58
1988,22T1888,0.67
1989,22T1888,0.59
1990,22T1888,0.7
1991,22T1888,0.61
1992,22T1888,0.84
1993,22T1888,0.94
1994,22T1888,0.9
1995,22T1888,0.77
1996,22T1888,0.96
1997,22T1888,0.81
1998,22T1888,0.76
1999,22T1888,0.51
2000,22T1888,0.75
2001,22T1888,0.77
2002,22T1888,0.75
2003,22T1888,0.57
2004,22T1888,0.58
2005,22T1888,0.59
2006,22T1888,0.59
2007,22T1888,0.54
2008,22T1888,0.53
2009,22T1888,0.65
2010,22T1888,0.55
2011,22T1888,0.48
2012,22T1888,0.67
2013,22T1888,0.54
2014,22T1888,0.39
2015,22T1888,0.61
2016,22T1888,0.42
2017,22T1888,0.68
2018,22T1888,0.5
2019,22T1888,0.6
2020,22T1888,0.64
2021,22T1888,0.66
2022,22T1888,0.48
1813,22T1980,0.2
1814,22T1980,0.29
1815,22T1980,0.24
1816,22T1980,0.48
1817,22T1980,0.42
1818,22T1980,0.47
1819,22T1980,0.43
1820,22T1980,0.38
1821,22T1980,0.36
1822,22T1980,0.33
1823,22T1980,0.33
1824,22T1980,0.36
1825,22T1980,0.45
1826,22T1980,0.52
1827,22T1980,0.58
1828,22T1980,0.66
1829,22T1980,0.67
1830,22T1980,0.69
1831,22T1980,0.63
1832,22T1980,0.57
1833,22T1980,0.87
1834,22T1980,0.65
1835,22T1980,0.53
1836,22T1980,0.6
1837,22T1980,0.55
1838,22T1980,0.47
1839,22T1980,0.51
1840,22T1980,0.4
1841,22T1980,0.43
1842,22T1980,0.41
1843,22T1980,0.45
1844,22T1980,0.49
1845,22T1980,0.44
1846,22T1980,0.48
1847,22T1980,0.5
1848,22T1980,0.67
1849,22T1980,0.75
1850,22T1980,0.56
1851,22T1980,0.61
1852,22T1980,0.81
1853,22T1980,0.75
1854,22T1980,0.81
1855,22T1980,0.7
1856,22T1980,0.65
1857,22T1980,0.68
1858,22T1980,0.61
1859,22T1980,0.7
1860,22T1980,0.64
1861,22T1980,0.67
1862,22T1980,0.68
1863,22T1980,0.56
1864,22T1980,0.58
1865,22T1980,0.45
1866,22T1980,0.59
1867,22T1980,0.56
1868,22T1980,0.53
1869,22T1980,0.48
1870,22T1980,0.59
1871,22T1980,0.66
1872,22T1980,0.56
1873,22T1980,0.54
1874,22T1980,0.6
1875,22T1980,0.6
1876,22T1980,0.5
1877,22T1980,0.57
1878,22T1980,0.56
1879,22T1980,0.56
1880,22T1980,0.52
1881,22T1980,0.5
1882,22T1980,0.3
1883,22T1980,0.34
1884,22T1980,0.48
1885,22T1980,0.54
1886,22T1980,0.6
1887,22T1980,0.46
1888,22T1980,0.62
1889,22T1980,0.62
1890,22T1980,0.56
1891,22T1980,0.55
1892,22T1980,0.57
1893,22T1980,0.48
1894,22T1980,0.55
1895,22T1980,0.45
1896,22T1980,0.48
1897,22T1980,0.49
1898,22T1980,0.46
1899,22T1980,0.39
1900,22T1980,0.38
1901,22T1980,0.47
1902,22T1980,0.43
1903,22T1980,0.42
1904,22T1980,0.37
1905,22T1980,0.33
1906,22T1980,0.29
1907,22T1980,0.39
1908,22T1980,0.39
1909,22T1980,0.38
1910,22T1980,0.33
1911,22T1980,0.36
1912,22T1980,0.38
1913,22T1980,0.37
1914,22T1980,0.41
1915,22T1980,0.3
1916,22T1980,0.32
1917,22T1980,0.31
1918,22T1980,0.26
1919,22T1980,0.19
1920,22T1980,0.25
1921,22T1980,0.18
1922,22T1980,0.15
1923,22T1980,0.2
1924,22T1980,0.28
1925,22T1980,0.28
1926,22T1980,0.26
1927,22T1980,0.3
1928,22T1980,0.37
1929,22T1980,0.32
1930,22T1980,0.27
1931,22T1980,0.3
1932,22T1980,0.33
1933,22T1980,0.23
1934,22T1980,0.22
1935,22T1980,0.17
1936,22T1980,0.23
1937,22T1980,0.24
1938,22T1980,0.22
1939,22T1980,0.23
1940,22T1980,0.2
1941,22T1980,0.26
1942,22T1980,0.32
1943,22T1980,0.25
1944,22T1980,0.22
1945,22T1980,0.27
1946,22T1980,0.29
1947,22T1980,0.33
1948,22T1980,0.43
1949,22T1980,0.37
1950,22T1980,0.37
1951,22T1980,0.51
1952,22T1980,0.42
1953,22T1980,0.33
1954,22T1980,0.37
1955,22T1980,0.32
1956,22T1980,0.34
1957,22T1980,0.26
1958,22T1980,0.32
1959,22T1980,0.34
1960,22T1980,0.31
1961,22T1980,0.29
1962,22T1980,0.35
1963,22T1980,0.37
1964,22T1980,0.37
1965,22T1980,0.29
1966,22T1980,0.4
1967,22T1980,0.31
1968,22T1980,0.41
1969,22T1980,0.48
1970,22T1980,0.48
1971,22T1980,0.37
1972,22T1980,0.49
1973,22T1980,0.46
1974,22T1980,0.34
1975,22T1980,0.34
1976,22T1980,0.35
1977,22T1980,0.19
1978,22T1980,0.24
1979,22T1980,0.29
1980,22T1980,0.3
1981,22T1980,0.28
1982,22T1980,0.38
1983,22T1980,0.39
1984,22T1980,0.39
1985,22T1980,0.37
1986,22T1980,0.33
1987,22T1980,0.35
1988,22T1980,0.35
1989,22T1980,0.34
1990,22T1980,0.33
1991,22T1980,0.31
1992,22T1980,0.19
1993,22T1980,0.24
1994,22T1980,0.27
1995,22T1980,0.24
1996,22T1980,0.25
1997,22T1980,0.28
1998,22T1980,0.29
1999,22T1980,0.3
2000,22T1980,0.3
2001,22T1980,0.15
2002,22T1980,0.23
2003,22T1980,0.25
2004,22T1980,0.23
2005,22T1980,0.22
2006,22T1980,0.18
2007,22T1980,0.2
2008,22T1980,0.23
2009,22T1980,0.21
2010,22T1980,0.18
2011,22T1980,0.23
2012,22T1980,0.25
2013,22T1980,0.23
2014,22T1980,0.25
2015,22T1980,0.27
2016,22T1980,0.32
2017,22T1980,0.34
2018,22T1980,0.3
2019,22T1980,0.24
2020,22T1980,0.3
2021,22T1980,0.32
1974,22T1983,0.51
1975,22T1983,0.57
1976,22T1983,0.62
1977,22T1983,0.53
1978,22T1983,0.56
1979,22T1983,0.71
1980,22T1983,0.96
1981,22T1983,0.93
1982,22T1983,1.04
1983,22T1983,1.17
1984,22T1983,0.81
1985,22T1983,0.39
1986,22T1983,0.4
1987,22T1983,1.23
1988,22T1983,1.04
1989,22T1983,1.04
1990,22T1983,1.27
1991,22T1983,1.5
1992,22T1983,1.31
1993,22T1983,1.24
1994,22T1983,1.23
1995,22T1983,1.28
1996,22T1983,1
1997,22T1983,1.13
1998,22T1983,1.22
1999,22T1983,1.17
2000,22T1983,1.09
2001,22T1983,1.01
2002,22T1983,0.83
2003,22T1983,0.91
2004,22T1983,0.9
2005,22T1983,0.92
2006,22T1983,0.93
2007,22T1983,1.05
2008,22T1983,0.87
2009,22T1983,0.8
2010,22T1983,0.82
2011,22T1983,0.82
2012,22T1983,0.75
2013,22T1983,0.71
2014,22T1983,0.73
2015,22T1983,0.86
2016,22T1983,0.89
2017,22T1983,0.96
2018,22T1983,1.22
2019,22T1983,0.99
2020,22T1983,1.19
2021,22T1983,1.16
1901,22T1984,0.89
1902,22T1984,0.57
1903,22T1984,0.65
1904,22T1984,0.65
1905,22T1984,0.64
1906,22T1984,0.62
1907,22T1984,0.49
1908,22T1984,0.59
1909,22T1984,0.45
1910,22T1984,0.5
1911,22T1984,0.49
1912,22T1984,0.71
1913,22T1984,0.77
1914,22T1984,0.81
1915,22T1984,0.71
1916,22T1984,0.81
1917,22T1984,0.57
1918,22T1984,0.82
1919,22T1984,0.52
1920,22T1984,0.96
1921,22T1984,0.55
1922,22T1984,1.08
1923,22T1984,1.17
1924,22T1984,0.91
1925,22T1984,1.14
1926,22T1984,1.08
1927,22T1984,0.81
1928,22T1984,0.98
1929,22T1984,0.82
1930,22T1984,1
1931,22T1984,0.98
1932,22T1984,0.88
1933,22T1984,0.71
1934,22T1984,0.82
1935,22T1984,0.63
1936,22T1984,0.83
1937,22T1984,1.05
1938,22T1984,0.99
1939,22T1984,0.96
1940,22T1984,1.31
1941,22T1984,1.14
1942,22T1984,0.91
1943,22T1984,0.8
1944,22T1984,0.65
1945,22T1984,0.57
1946,22T1984,0.56
1947,22T1984,0.71
1948,22T1984,0.97
1949,22T1984,0.83
1950,22T1984,0.8
1951,22T1984,0.67
1952,22T1984,0.71
1953,22T1984,0.57
1954,22T1984,0.63
1955,22T1984,0.57
1956,22T1984,0.5
1957,22T1984,0.57
1958,22T1984,0.49
1959,22T1984,0.52
1960,22T1984,0.43
1961,22T1984,0.46
1962,22T1984,0.36
1963,22T1984,0.23
1964,22T1984,0.18
1965,22T1984,0.31
1966,22T1984,0.17
1967,22T1984,0.23
1968,22T1984,0.21
1969,22T1984,0.25
1970,22T1984,0.21
1971,22T1984,0.19
1972,22T1984,0.21
1973,22T1984,0.17
1974,22T1984,0.21
1975,22T1984,0.16
1976,22T1984,0.21
1977,22T1984,0.21
1978,22T1984,0.19
1979,22T1984,0.25
1980,22T1984,0.26
1981,22T1984,0.31
1982,22T1984,0.32
1983,22T1984,0.37
1984,22T1984,0.39
1985,22T1984,0.45
1986,22T1984,0.56
1987,22T1984,0.51
1988,22T1984,0.47
1989,22T1984,0.43
1990,22T1984,0.5
1991,22T1984,0.46
1992,22T1984,0.52
1993,22T1984,0.52
1994,22T1984,0.59
1995,22T1984,0.68
1996,22T1984,0.6
1997,22T1984,0.6
1998,22T1984,0.75
1999,22T1984,0.69
2000,22T1984,0.65
2001,22T1984,0.64
2002,22T1984,0.75
2003,22T1984,0.83
2004,22T1984,0.52
2005,22T1984,0.52
2006,22T1984,0.44
2007,22T1984,0.53
2008,22T1984,0.54
2009,22T1984,0.53
2010,22T1984,0.37
2011,22T1984,0.55
2012,22T1984,0.55
2013,22T1984,0.79
2014,22T1984,0.6
2015,22T1984,0.65
2016,22T1984,0.74
2017,22T1984,0.88
2018,22T1984,0.89
2019,22T1984,0.74
2020,22T1984,0.88
2021,22T1984,0.8
1902,22T2001,0.79
1903,22T2001,0.71
1904,22T2001,0.65
1905,22T2001,1.02
1906,22T2001,1.08
1907,22T2001,0.96
1908,22T2001,0.87
1909,22T2001,1.2
1910,22T2001,1.09
1911,22T2001,1.07
1912,22T2001,0.55
1913,22T2001,0.33
1914,22T2001,0.36
1915,22T2001,0.67
1916,22T2001,0.39
1917,22T2001,0.37
1918,22T2001,0.4
1919,22T2001,0.3
1920,22T2001,0.32
1921,22T2001,0.28
1922,22T2001,0.38
1923,22T2001,0.18
1924,22T2001,0.19
1925,22T2001,0.2
1926,22T2001,0.18
1927,22T2001,0.22
1928,22T2001,0.31
1929,22T2001,0.27
1930,22T2001,0.35
1931,22T2001,0.32
1932,22T2001,0.53
1933,22T2001,0.47
1934,22T2001,0.42
1935,22T2001,0.4
1936,22T2001,0.4
1937,22T2001,0.44
1938,22T2001,0.4
1939,22T2001,0.37
1940,22T2001,0.34
1941,22T2001,0.36
1942,22T2001,0.34
1943,22T2001,0.34
1944,22T2001,0.4
1945,22T2001,0.41
1946,22T2001,0.29
1947,22T2001,0.33
1948,22T2001,0.33
1949,22T2001,0.36
1950,22T2001,0.26
1951,22T2001,0.2
1952,22T2001,0.27
1953,22T2001,0.21
1954,22T2001,0.26
1955,22T2001,0.31
1956,22T2001,0.34
1957,22T2001,0.52
1958,22T2001,0.43
1959,22T2001,0.49
