Year,CN,RW
2012,20X993,1.88
2013,20X993,1.78
2014,20X993,1.47
2015,20X993,1.24
2016,20X993,1.2
2017,20X993,1.24
2018,20X993,1.22
2019,20X993,1.37
1816,22T1731,0.77
1817,22T1731,0.68
1818,22T1731,0.51
1819,22T1731,0.68
1820,22T1731,0.28
1821,22T1731,0.36
1822,22T1731,0.43
1823,22T1731,0.52
1824,22T1731,0.59
1825,22T1731,0.72
1826,22T1731,0.74
1827,22T1731,0.71
1828,22T1731,0.84
1829,22T1731,0.87
1830,22T1731,0.72
1831,22T1731,0.64
1832,22T1731,1.21
1833,22T1731,0.85
1834,22T1731,0.55
1835,22T1731,0.63
1836,22T1731,0.47
1837,22T1731,0.5
1838,22T1731,0.41
1839,22T1731,0.41
1840,22T1731,0.43
1841,22T1731,0.34
1842,22T1731,0.42
1843,22T1731,0.43
1844,22T1731,0.43
1845,22T1731,0.52
1846,22T1731,0.8
1847,22T1731,0.92
1848,22T1731,0.76
1849,22T1731,0.63
1850,22T1731,0.64
1851,22T1731,0.54
1852,22T1731,0.47
1853,22T1731,0.47
1854,22T1731,0.41
1855,22T1731,0.26
1856,22T1731,0.25
1857,22T1731,0.34
1858,22T1731,0.47
1859,22T1731,0.57
1860,22T1731,0.53
1861,22T1731,0.57
1862,22T1731,0.57
1863,22T1731,0.55
1864,22T1731,0.43
1865,22T1731,0.39
1866,22T1731,0.27
1867,22T1731,0.35
1868,22T1731,0.47
1869,22T1731,0.4
1870,22T1731,0.34
1871,22T1731,0.31
1872,22T1731,0.3
1873,22T1731,0.28
1874,22T1731,0.24
1875,22T1731,0.26
1876,22T1731,0.2
1877,22T1731,0.32
1878,22T1731,0.32
1879,22T1731,0.33
1880,22T1731,0.26
1881,22T1731,0.27
1882,22T1731,0.27
1883,22T1731,0.32
1884,22T1731,0.19
1885,22T1731,0.15
1886,22T1731,0.16
1887,22T1731,0.22
1888,22T1731,0.21
1889,22T1731,0.19
1890,22T1731,0.17
1891,22T1731,0.17
1892,22T1731,0.19
1893,22T1731,0.15
1894,22T1731,0.24
1895,22T1731,0.2
1896,22T1731,0.26
1897,22T1731,0.23
1898,22T1731,0.26
1899,22T1731,0.23
1900,22T1731,0.3
1901,22T1731,0.28
1902,22T1731,0.4
1903,22T1731,0.13
1904,22T1731,0.25
1905,22T1731,0.29
1906,22T1731,0.31
1907,22T1731,0.24
1908,22T1731,0.19
1909,22T1731,0.26
1910,22T1731,0.31
1911,22T1731,0.42
1912,22T1731,0.43
1913,22T1731,0.4
1914,22T1731,0.36
1915,22T1731,0.36
1916,22T1731,0.24
1917,22T1731,0.11
1918,22T1731,0.19
1919,22T1731,0.16
1920,22T1731,0.16
1921,22T1731,0.12
1922,22T1731,0.15
1923,22T1731,0.13
1924,22T1731,0.13
1925,22T1731,0.1
1926,22T1731,0.11
1927,22T1731,0.18
1928,22T1731,0.16
1929,22T1731,0.16
1930,22T1731,0.16
1931,22T1731,0.18
1932,22T1731,0.15
1933,22T1731,0.16
1934,22T1731,0.13
1935,22T1731,0.1
1936,22T1731,0.1
1937,22T1731,0.13
