TRE_CN,PLT_CN,Year,RW
3023986010690,3023957010690,1922,0.62
3023986010690,3023957010690,1923,0.83
3023986010690,3023957010690,1924,0.9
3023986010690,3023957010690,1925,0.55
3023986010690,3023957010690,1926,0.4
3023986010690,3023957010690,1927,0.48
3023986010690,3023957010690,1928,0.55
3023986010690,3023957010690,1929,0.75
3023986010690,3023957010690,1930,0.82
3023986010690,3023957010690,1931,1.04
3023986010690,3023957010690,1932,0.85
3023986010690,3023957010690,1933,1.21
3023986010690,3023957010690,1934,1.23
3023986010690,3023957010690,1935,1.36
3023986010690,3023957010690,1936,1.25
3023986010690,3023957010690,1937,1.22
3023986010690,3023957010690,1938,1.25
3023986010690,3023957010690,1939,1.37
3023986010690,3023957010690,1940,1.1
3023986010690,3023957010690,1941,1.08
3023986010690,3023957010690,1942,0.99
3023986010690,3023957010690,1943,0.95
3023986010690,3023957010690,1944,0.91
3023986010690,3023957010690,1945,1.06
3023986010690,3023957010690,1946,1.02
3023986010690,3023957010690,1947,1
3023986010690,3023957010690,1948,1.01
3023986010690,3023957010690,1949,0.88
3023986010690,3023957010690,1950,1.06
3023986010690,3023957010690,1951,1.05
3023986010690,3023957010690,1952,0.77
3023986010690,3023957010690,1953,0.8
3023986010690,3023957010690,1954,0.8
3023986010690,3023957010690,1955,1.02
3023986010690,3023957010690,1956,0.71
3023986010690,3023957010690,1957,0.91
3023986010690,3023957010690,1958,0.67
3023986010690,3023957010690,1959,0.73
3023986010690,3023957010690,1960,0.55
3023986010690,3023957010690,1961,0.43
3023986010690,3023957010690,1962,0.5
3023986010690,3023957010690,1963,0.53
3023986010690,3023957010690,1964,0.37
3023986010690,3023957010690,1965,0.42
3023986010690,3023957010690,1966,0.47
3023986010690,3023957010690,1967,0.49
3023986010690,3023957010690,1968,0.42
3023986010690,3023957010690,1969,0.58
3023986010690,3023957010690,1970,0.71
3023986010690,3023957010690,1971,0.45
3023986010690,3023957010690,1972,0.45
3023986010690,3023957010690,1973,0.55
3023986010690,3023957010690,1974,0.42
3023986010690,3023957010690,1975,0.53
3023986010690,3023957010690,1976,0.59
3023986010690,3023957010690,1977,0.45
3023986010690,3023957010690,1978,0.45
3023986010690,3023957010690,1979,0.4
3023986010690,3023957010690,1980,0.43
3023986010690,3023957010690,1981,0.36
3023986010690,3023957010690,1982,0.37
3023986010690,3023957010690,1983,0.24
3023986010690,3023957010690,1984,0.32
3023986010690,3023957010690,1985,0.28
3023986010690,3023957010690,1986,0.38
3023986010690,3023957010690,1987,0.39
3023986010690,3023957010690,1988,0.46
3023986010690,3023957010690,1989,0.46
3023986010690,3023957010690,1990,0.23
3023986010690,3023957010690,1991,0.22
3023986010690,3023957010690,1992,0.18
3023986010690,3023957010690,1993,0.19
3023986010690,3023957010690,1994,0.15
3023986010690,3023957010690,1995,0.16
3023986010690,3023957010690,1996,0.19
3024808010690,3024763010690,1896,0.38
3024808010690,3024763010690,1897,0.43
3024808010690,3024763010690,1898,0.31
3024808010690,3024763010690,1899,0.4
3024808010690,3024763010690,1900,0.35
3024808010690,3024763010690,1901,0.3
3024808010690,3024763010690,1902,0.29
3024808010690,3024763010690,1903,0.38
3024808010690,3024763010690,1904,0.49
3024808010690,3024763010690,1905,0.49
3024808010690,3024763010690,1906,0.5
3024808010690,3024763010690,1907,0.47
3024808010690,3024763010690,1908,0.51
3024808010690,3024763010690,1909,0.58
3024808010690,3024763010690,1910,0.5
3024808010690,3024763010690,1911,0.52
3024808010690,3024763010690,1912,0.57
3024808010690,3024763010690,1913,0.49
3024808010690,3024763010690,1914,0.54
3024808010690,3024763010690,1915,0.52
3024808010690,3024763010690,1916,0.39
3024808010690,3024763010690,1917,0.39
3024808010690,3024763010690,1918,0.45
3024808010690,3024763010690,1919,0.44
3024808010690,3024763010690,1920,0.45
3024808010690,3024763010690,1921,0.41
3024808010690,3024763010690,1922,0.47
3024808010690,3024763010690,1923,0.45
3024808010690,3024763010690,1924,0.61
3024808010690,3024763010690,1925,0.47
3024808010690,3024763010690,1926,0.27
3024808010690,3024763010690,1927,0.2
3024808010690,3024763010690,1928,0.29
3024808010690,3024763010690,1929,0.33
3024808010690,3024763010690,1930,0.32
3024808010690,3024763010690,1931,0.31
3024808010690,3024763010690,1932,0.3
3024808010690,3024763010690,1933,0.33
3024808010690,3024763010690,1934,0.29
3024808010690,3024763010690,1935,0.32
3024808010690,3024763010690,1936,0.39
3024808010690,3024763010690,1937,0.43
3024808010690,3024763010690,1938,0.33
3024808010690,3024763010690,1939,0.42
3024808010690,3024763010690,1940,0.37
3024808010690,3024763010690,1941,0.34
3024808010690,3024763010690,1942,0.26
3024808010690,3024763010690,1943,0.44
3024808010690,3024763010690,1944,0.43
3024808010690,3024763010690,1945,0.41
3024808010690,3024763010690,1946,0.43
3024808010690,3024763010690,1947,0.39
3024808010690,3024763010690,1948,0.49
3024808010690,3024763010690,1949,0.45
3024808010690,3024763010690,1950,0.39
3024808010690,3024763010690,1951,0.42
3024808010690,3024763010690,1952,0.37
3024808010690,3024763010690,1953,0.35
3024808010690,3024763010690,1954,0.48
3024808010690,3024763010690,1955,0.42
3024808010690,3024763010690,1956,0.57
3024808010690,3024763010690,1957,0.42
3024808010690,3024763010690,1958,0.36
3024808010690,3024763010690,1959,0.52
3024808010690,3024763010690,1960,0.32
3024808010690,3024763010690,1961,0.32
3024808010690,3024763010690,1962,0.34
3024808010690,3024763010690,1963,0.28
3024808010690,3024763010690,1964,0.33
3024808010690,3024763010690,1965,0.38
3024808010690,3024763010690,1966,0.37
3024808010690,3024763010690,1967,0.37
3024808010690,3024763010690,1968,0.4
3024808010690,3024763010690,1969,0.24
3024808010690,3024763010690,1970,0.21
3024808010690,3024763010690,1971,0.33
3024808010690,3024763010690,1972,0.24
3024808010690,3024763010690,1973,0.19
3024808010690,3024763010690,1974,0.23
3024808010690,3024763010690,1975,0.22
3024808010690,3024763010690,1976,0.25
3024808010690,3024763010690,1977,0.4
3024808010690,3024763010690,1978,0.29
3024808010690,3024763010690,1979,0.34
3024808010690,3024763010690,1980,0.23
3024808010690,3024763010690,1981,0.18
3024808010690,3024763010690,1982,0.21
3024808010690,3024763010690,1983,0.18
3024808010690,3024763010690,1984,0.17
3024808010690,3024763010690,1985,0.22
3024808010690,3024763010690,1986,0.2
3024808010690,3024763010690,1987,0.26
3024808010690,3024763010690,1988,0.29
3024808010690,3024763010690,1989,0.18
3024808010690,3024763010690,1990,0.08
3024808010690,3024763010690,1991,0.19
3024808010690,3024763010690,1992,0.13
3024808010690,3024763010690,1993,0.15
3024808010690,3024763010690,1994,0.25
3024808010690,3024763010690,1995,0.12
3024808010690,3024763010690,1996,0.15
3060314010690,3060283010690,1896,1.85
3060314010690,3060283010690,1897,1.92
3060314010690,3060283010690,1898,1.44
3060314010690,3060283010690,1899,3.05
3060314010690,3060283010690,1900,2.26
3060314010690,3060283010690,1901,2.36
3060314010690,3060283010690,1902,1.96
3060314010690,3060283010690,1903,2.13
3060314010690,3060283010690,1904,2.45
3060314010690,3060283010690,1905,1.51
3060314010690,3060283010690,1906,2.03
3060314010690,3060283010690,1907,2.58
3060314010690,3060283010690,1908,2.24
3060314010690,3060283010690,1909,2.93
3060314010690,3060283010690,1910,2.93
3060314010690,3060283010690,1911,2.42
3060314010690,3060283010690,1912,2.63
3060314010690,3060283010690,1913,3.18
3060314010690,3060283010690,1914,2.86
3060314010690,3060283010690,1915,3.47
3060314010690,3060283010690,1916,3.21
3060314010690,3060283010690,1917,2.26
3060314010690,3060283010690,1918,2.15
3060314010690,3060283010690,1919,2.5
3060314010690,3060283010690,1920,2.31
3060314010690,3060283010690,1921,1.82
3060314010690,3060283010690,1922,2.9
3060314010690,3060283010690,1923,3.47
3060314010690,3060283010690,1924,2.88
3060314010690,3060283010690,1925,2.59
3060314010690,3060283010690,1926,2.53
3060314010690,3060283010690,1927,3.06
3060314010690,3060283010690,1928,2.43
3060314010690,3060283010690,1929,3.11
3060314010690,3060283010690,1930,2.79
3060314010690,3060283010690,1931,2.09
3060314010690,3060283010690,1932,3.14
3060314010690,3060283010690,1933,1.41
3060314010690,3060283010690,1934,2.28
3060314010690,3060283010690,1935,2.56
3060314010690,3060283010690,1936,1.73
3060314010690,3060283010690,1937,1.95
3060314010690,3060283010690,1938,2.02
3060314010690,3060283010690,1939,2.26
3060314010690,3060283010690,1940,1.87
3060314010690,3060283010690,1941,2.09
3060314010690,3060283010690,1942,1.66
3060314010690,3060283010690,1943,1.84
3060314010690,3060283010690,1944,1.67
3060314010690,3060283010690,1945,1.63
3060314010690,3060283010690,1946,1.73
3060314010690,3060283010690,1947,1.56
3060314010690,3060283010690,1948,1.17
3060314010690,3060283010690,1949,1.63
3060314010690,3060283010690,1950,2.05
3060314010690,3060283010690,1951,1.95
3060314010690,3060283010690,1952,1.76
3060314010690,3060283010690,1953,1.45
3060314010690,3060283010690,1954,1.58
3060314010690,3060283010690,1955,2.15
3060314010690,3060283010690,1956,2.28
3060314010690,3060283010690,1957,1.59
3060314010690,3060283010690,1958,1.71
3060314010690,3060283010690,1959,1.87
3060314010690,3060283010690,1960,2.38
3060314010690,3060283010690,1961,1.99
3060314010690,3060283010690,1962,2.03
3060314010690,3060283010690,1963,1.68
3060314010690,3060283010690,1964,2.18
3060314010690,3060283010690,1965,1.89
3060314010690,3060283010690,1966,1.49
3060314010690,3060283010690,1967,1.74
3060314010690,3060283010690,1968,1.45
3060314010690,3060283010690,1969,1.67
3060314010690,3060283010690,1970,1.65
3060314010690,3060283010690,1971,1.93
3060314010690,3060283010690,1972,1.67
3060314010690,3060283010690,1973,1.54
3060314010690,3060283010690,1974,1.85
3060314010690,3060283010690,1975,1.75
3060314010690,3060283010690,1976,1.62
3060314010690,3060283010690,1977,1.63
3060314010690,3060283010690,1978,1.54
3060314010690,3060283010690,1979,1.05
3060314010690,3060283010690,1980,1.03
3060314010690,3060283010690,1981,0.94
3060314010690,3060283010690,1982,1.06
3060314010690,3060283010690,1983,0.93
3060314010690,3060283010690,1984,0.97
3060314010690,3060283010690,1985,1.34
3060314010690,3060283010690,1986,1.14
3060314010690,3060283010690,1987,1.21
3060314010690,3060283010690,1988,1.06
3060314010690,3060283010690,1989,0.87
3060314010690,3060283010690,1990,0.49
3060314010690,3060283010690,1991,0.38
