year,month,tmin,tmax,ppt
1895,9,0.4783852446144896,12.112737682999157,35.32881150480178
1895,10,-4.1230983440993265,9.134696718122136,22.341745926464192
1895,11,-10.055950797972134,-1.4428606498986483,52.14863924120293
1895,12,-13.02835244819766,-4.577786897538138,99.93865568129745
1896,1,-12.423352448666682,-1.7700655733494726,158.37852457703136
1896,2,-10.497155758201098,-0.10318852536624555,46.775926371089724
1896,3,-12.353336068450425,-1.5218360603130503,60.60476239001167
1896,4,-8.127040985177777,3.0984016358852386,60.206483278118206
1896,5,-3.6798196652385062,6.488901648365084,98.652934183839875
1896,6,1.4307868845577612,17.52013934244875,40.16983596614149
1896,7,6.5974754016907475,20.48348369754729,41.623245934971045
1896,8,5.200811479912429,19.368024536820705,29.204459143466636
1896,9,0.34722950584331497,12.111721296779443,74.67330351032194
1896,10,-4.079999999921829,8.593909830343527,30.02240167680333
1896,11,-13.778532813807002,-3.960475395204592,159.3703685823034
1896,12,-7.872614778456142,-0.6180573796441193,79.15018026555177
1897,1,-14.162868820252964,-4.446032787932725,37.47231128567554
1897,2,-13.809999985773056,-3.7247377106400794,149.5795578565754
1897,3,-15.380983587171212,-3.914975406082926,103.94209830487365
1897,4,-6.393942633979632,5.833663936521186,26.899106432179934
1897,5,0.48148360851480315,15.649377033358713,30.402090228971893
1897,6,1.5355983719107562,14.877500018135446,111.61436836055063
1897,7,4.065499999484078,18.77295081341853,46.20636863395816
1897,8,5.6517950921762194,21.431450734372998,11.722778675986117
1897,9,1.8692541023502585,15.858196790101099,37.88839344900165
1897,10,-2.8933688520652336,7.043336039683859,43.42609833107619
1897,11,-8.697516390534696,0.06949180788284194,98.6185327123424
1897,12,-12.757401642252185,-4.806786882095649,97.98823763112557
1898,1,-16.013303178255672,-5.6621475532406675,88.89697537656693
1898,2,-11.614016435185416,-0.5572131144075636,58.31473752318837
1898,3,-14.960450797784526,-3.068385249492328,54.696090010345955
1898,4,-6.000540953434883,7.454229474067688,27.146057519756386
1898,5,-2.331598361297587,8.720811507740956,139.31554131429704
1898,6,1.4881885268755997,15.625745906204475,98.5378936392362
1898,7,4.445163941774212,20.370762309090033,43.620819670255074
1898,8,5.7678934179368575,21.59910655412518,19.687352500978065
1898,9,-0.035803281090443055,14.651983659775532,21.81193448676438
1898,10,-5.069942613605594,4.301901630690839,37.02652470010226
1898,11,-10.609221360722525,-2.6352623074819324,92.08727048655021
1898,12,-15.143991845553035,-5.499745875658072,44.81247552496488
1899,1,-12.59467212098544,-4.050655717976757,123.20162297858565
1899,2,-18.264106617599236,-8.36612295909006,77.97291807268483
1899,3,-13.278967161647609,-1.6143606523868685,69.14489339609617
1899,4,-7.4182540569149085,4.677180337124183,62.10833604218528
1899,5,-3.6236803137132387,7.784737700321635,85.70202480378698
1899,6,0.6182131096558476,14.629344244472316,52.70685285036681
1899,7,4.360967204219005,21.365598365908763,35.937942547876325
1899,8,2.612172119197299,17.286770461035555,31.838122860330056
1899,9,0.17758197345022675,16.281491842426238,26.815590256550266
1899,10,-4.354795084624993,4.6537049285701055,74.41227049905743
1899,11,-6.478295072668891,3.5519098668801994,77.42194284376554
1899,12,-12.664934439737289,-3.6769508225995975,56.218409694609065
1900,1,-11.429409914329405,-0.8287131190681669,46.72298347754559
1900,2,-15.002180314454876,-3.3957868978594923,64.38757357050156
1900,3,-8.79317217576699,3.696393435820937,49.310245678073116
1900,4,-5.26450819607641,6.693360649171422,109.55194245010127
1900,5,-1.3106229548346338,12.809270514816534,70.04487705230713
1900,6,2.8120655686151785,19.677098469656023,18.693606611158046
1900,7,3.126172136698589,20.178311535569485,16.806327823732722
1900,8,3.267959007962806,18.677270459347085,22.655377094862885
1900,9,-0.14503279074904443,12.691573783999583,48.66577872291939
1900,10,-2.8994098370360426,7.1652131354222535,68.50967228998904
1900,11,-9.13232790055822,1.0872295045057223,122.56870494905064
1900,12,-9.952860677828554,-1.1546721381333758,50.29771303348861
1901,1,-12.369188523683391,-2.70006556844064,101.0813116245582
1901,2,-14.632655730012988,-3.669032783491811,91.51658225450355
1901,3,-11.323877055136885,0.5969754102731462,58.95658991766758
1901,4,-7.799540982871758,5.337688526169198,61.61256565031458
1901,5,0.02172950373153388,13.575434426792333,155.10485305160773
1901,6,-0.5131229486805006,12.707737672524374,95.32536874051956
1901,7,6.156491803341225,22.96013933713319,15.607491879189599
1901,8,5.599229501896216,20.846188529593043,27.273204963715354
1901,9,-0.7061147455328349,11.35544261776033,49.3041232062168
1901,10,-1.3714508123573708,10.501073759110248,31.437901637593253
1901,11,-7.001975422999901,3.2456065616646743,52.6008196424265
1901,12,-11.478598371880954,-2.702081968847542,62.15467202858846
1902,1,-14.79740976114742,-4.459803289565884,38.88213928410263
1902,2,-10.191999990431988,-0.1850573801603468,96.24627868464738
1902,3,-12.5166639460892,-0.8969098403439176,68.93958986000935
1902,4,-7.444139321319394,5.122983600272508,49.980483664840946
1902,5,-1.9322049167068267,11.323073777996125,92.69154114019678
1902,6,0.20585246075738717,15.332418050922332,62.25423795668806
1902,7,2.366729502428749,17.853327868414706,43.062688483566525
1902,8,3.121680341783116,19.453147567686486,16.441713094711304
1902,9,-0.9425655780970813,13.923073776432723,19.90734427092505
1902,10,-3.9157049141702096,9.225295035565484,16.063008261508628
1902,11,-9.537754074471898,-0.29348360734884893,128.94547531252996
1902,12,-12.82355742767209,-3.697090162116974,107.99591813321979
1903,1,-12.362106530392756,-2.994303277861632,171.23454125201116
1903,2,-19.351499971796255,-6.614573768660669,18.62277871272603
