Year,Q8N10,Q9E4A,Q9E7,Q9S1,R9N1,R9N2A,R9N3A,R9N4B,R9N5A,R9N10A,R9E2,R9S2,R9S3,R9W10,R10E3,S9S5,S10N9A,S10N10,S10E3B,S10E9A,S10S3,S10S8,S11Ex1A,T7N4,T8N6,T8E2,T8E4,T8E5,T8E6,T8S2,T9N1,T9N9,T9E5A,T9S5,T9W2B,T9W3A,T10N9,T12N3,T12N6,T12N8,T12E1,T12E4,T12E6,U8N8,U8W8,U11W3,U12N7,U12N10,U12E5,U12W1,W9E10,W10N10,W10S2,W10S10
1926,1.82,2.138,1.574,1.99,3.197,1.727,4.148,2.138,1.545,1.46,2.434,NA,2.18,NA,NA,2.71,3.005,1.63,2.646,1.248,1.906,1.588,2.392,2.292,1.926,0.984,1.588,1.989,NA,1.587,1.503,1.08,2.349,1.905,2.71,1.82,2.54,1.314,1.99,1.058,2.349,3.387,1.27,1.1,1.736,1.291,NA,1.872,2.879,NA,1.699,2.138,2.349,1.863
1927,1.376,1.312,1.483,1.82,2.138,1.506,3.239,1.8,1.27,1.143,2.095,NA,1.143,1.904,NA,1.82,2.752,2.328,2.244,0.911,1.418,1.461,2.116,2.486,1.693,0.777,1.291,1.398,NA,1.524,1.313,1.757,1.82,1.545,2.032,1.334,2.497,0.973,2.117,0.974,1.588,3.323,1.228,1.355,1.206,1.291,NA,1.016,3.259,NA,1.51,2.032,2.011,1.693
1928,1.291,1.778,1.441,2.561,2.582,1.031,5.037,1.883,1.101,0.868,1.588,NA,1.482,1.714,NA,1.948,3.217,2.16,2.032,0.677,2.328,1.821,2.434,2.163,1.546,0.731,1.608,1.355,NA,1.969,1.27,1.525,1.948,2.392,2.18,1.545,2.689,0.847,1.376,0.656,1.778,3.366,1.037,2.201,1.672,1.778,NA,0.96,3.344,NA,1.235,2.137,1.884,1.8
1929,1.27,1.292,1.466,1.927,2.18,1.054,3.599,1.524,1.46,0.889,1.82,NA,1.651,2.022,NA,2.476,3.027,1.206,1.82,0.762,1.545,1.291,2.456,1.61,1.608,0.786,1.609,1.333,NA,1.524,1.376,0.762,1.418,2.01,1.905,1.376,2.349,1.122,1.333,0.72,1.249,3.09,1.207,1.059,2.075,1.291,NA,0.974,2.625,NA,1.276,1.821,1.482,1.693
1930,1.567,0.698,1.312,1.461,2.011,0.893,2.603,1.715,1.651,1.037,1.671,2.411,1.588,1.628,NA,2.73,3.196,1.143,1.503,0.677,1.165,1.206,2.624,1.576,2.096,1.084,1.376,0.911,NA,1.376,1.207,0.91,1.418,1.524,1.905,1.418,2.688,1.524,1.397,0.995,1.227,2.646,0.931,0.592,1.757,0.529,1.713,0.94,2.392,NA,1.545,2.053,1.312,1.503
1931,1.566,0.466,1.313,1.715,1.926,1.124,2.752,1.905,1.143,0.953,1.524,2.574,1.566,1.864,NA,2.837,2.985,0.72,1.143,0.635,1.249,1.313,2.816,2.355,2.349,1.016,1.185,0.995,NA,1.354,1.164,0.825,1.376,1.186,1.481,1.503,1.947,1.418,1.355,1.164,1.122,2.349,1.101,0.911,1.248,0.678,1.802,0.944,2.434,1.997,1.164,2.35,1.905,1.46
1932,1.397,0.317,0.762,1.587,2.435,0.889,3.006,1.989,1.059,0.699,1.334,3.558,1.884,1.736,NA,1.968,3.662,1.418,1.206,0.572,1.969,1.037,2.582,2.604,1.884,1.208,1.228,0.994,NA,1.291,1.418,1.462,1.46,1.588,2.096,1.905,2.075,1.079,1.651,0.614,1.164,2.879,0.656,1.185,1.398,0.698,2.229,0.828,1.905,1.38,0.635,1.608,1.291,1.101
1933,1.524,0.466,0.889,0.931,2.984,0.974,2.92,2.625,1.439,0.634,2.328,2.688,2.053,2.222,NA,2.202,3.407,1.122,0.974,0.592,2.201,0.656,3.027,2.116,1.99,1.016,1.46,1.44,NA,1.313,1.397,1.398,1.842,2.011,2.519,2.434,2.117,1.27,1.566,0.529,1.313,3.45,0.868,1.27,0.698,0.699,1.608,1.07,2.752,1.659,1.016,1.609,1.186,1.312
1934,1.672,0.614,0.825,1.08,2.476,1.164,2.286,1.926,1.355,0.551,1.651,1.926,1.778,2.011,NA,1.862,2.329,0.846,1.08,0.614,1.609,0.995,3.048,1.44,1.566,1.101,1.482,1.608,NA,1.354,1.609,1.312,2.074,1.503,2.413,2.54,1.904,1.249,1.206,0.508,1.249,2.392,1.375,1.079,0.72,0.084,1.525,0.934,2.095,2.227,0.699,1.418,1.65,1.524
1935,1.677,0.254,0.656,1.693,2.159,1.058,2.54,1.863,1.693,0.762,1.249,1.778,1.714,2.159,1.765,1.757,2.307,0.911,1.249,0.678,1.418,1.164,3.069,1.27,1.969,1.123,1.566,1.461,NA,1.398,0.952,1.207,1.799,1.376,2.243,2.54,1.504,0.91,1.355,0.465,1.079,1.905,0.889,1.228,0.973,0.088,1.355,0.762,2.138,1.461,0.656,1.566,0.89,1.249
1936,1.843,0.36,0.699,1.63,2.138,0.868,2.117,1.926,1.461,0.635,1.524,1.82,1.799,1.101,1.601,1.418,2.328,1.227,1.185,0.529,2.18,0.974,2.73,1.883,1.545,0.741,1.334,1.016,NA,0.91,1.313,0.952,1.842,1.799,2.667,2.794,1.567,1.948,1.778,0.635,0.91,2.328,0.826,0.995,1.059,0.148,1.566,0.732,3.895,1.143,0.677,1.524,0.888,1.291
1937,1.672,0.402,0.783,1.693,2.879,1.143,1.757,1.694,1.46,0.974,1.968,2.096,2.477,1.386,1.348,1.842,2.921,1.207,1.63,0.741,2.075,1.079,2.964,2.096,2.032,1.315,1.206,1.079,NA,1.016,0.846,1.461,2.074,1.418,2.816,1.969,1.502,1.82,1.524,1.059,1.143,2.392,0.889,1.037,1.968,0.572,1.651,1.364,4.36,1.757,0.889,1.99,1.334,1.588
1938,2.095,0.741,0.825,1.503,2.921,0.868,2.392,1.121,1.164,1.121,2.011,1.778,2.053,1.398,1.382,2.095,2.604,0.804,1.735,0.719,1.883,0.931,3.387,2.371,1.947,1.229,1.101,0.995,NA,1.143,0.974,1.524,2.201,1.482,2.413,1.629,1.715,1.101,1.439,0.952,1.207,2.582,0.952,1.185,2.646,1.333,1.292,1.75,4.551,1.735,0.889,1.947,1.799,1.439
1939,1.482,0.804,0.699,1.355,2.18,0.677,1.947,0.953,0.91,0.995,1.567,1.672,1.376,1.181,1.893,1.651,1.672,0.677,1.334,0.466,1.8,0.805,3.238,1.884,1.715,0.889,1.122,1.101,NA,1.185,0.762,1.354,2.181,1.164,2.137,1.376,1.482,0.783,1.08,0.678,1.079,2.265,0.699,0.932,2.667,0.931,1.291,1.54,3.514,1.291,0.783,1.842,1.693,1.334
1940,1.926,0.466,0.656,1.08,2.096,0.805,1.651,0.868,0.974,0.699,1.566,1.355,1.587,0.944,1.576,1.588,1.714,0.466,1.439,0.55,1.164,0.592,2.984,1.312,1.905,0.762,0.952,0.889,2.678,1.27,0.614,1.165,2.116,0.995,1.927,1.207,1.185,0.571,0.804,0.592,0.91,2.286,0.402,0.846,1.99,1.503,1.46,1.304,2.624,0.932,0.868,1.82,1.334,1.27
1941,1.823,0.677,1.122,0.804,2.18,0.846,2.011,1.122,0.889,1.439,2.096,1.46,1.927,1.82,0.94,1.926,2.075,0.741,1.863,0.529,1.227,0.699,3.112,1.672,2.455,1.101,1.567,1.164,3.06,2.117,0.804,1.249,2.794,1.44,2.434,1.693,1.355,0.529,0.868,1.186,0.889,2.032,0.466,1.313,1.312,1.694,2.138,1.654,3.45,1.397,1.44,1.947,1.206,1.206
1942,1.439,0.529,1.143,0.91,1.841,0.72,1.778,1.164,0.91,1.376,1.735,1.291,2.518,1.802,1.063,1.884,2.074,0.804,1.333,0.403,1.143,0.614,2.519,1.693,2.074,0.846,1.693,1.355,4.828,1.862,0.635,0.91,2.032,1.356,2.519,2.286,1.333,0.72,1.101,1.206,0.911,1.905,0.571,1.291,0.889,1.566,2.032,1.74,2.477,1.143,1.206,1.376,1.397,1.228
1943,1.19,0.487,0.91,1.185,1.694,0.804,1.651,1.291,0.889,0.931,1.164,0.953,1.821,1.693,1.521,1.608,1.821,0.635,1.122,0.317,0.974,0.741,1.863,1.461,2.096,0.763,1.63,1.206,4,1.715,0.847,1.079,1.249,2.138,2.921,2.477,1.334,0.804,1.185,0.868,0.952,1.99,0.381,0.889,0.847,1.101,1.355,1.566,2.138,1.037,0.804,1.228,0.995,0.91
1944,0.992,0.571,1.016,1.27,1.481,0.91,1.799,1.735,0.487,0.699,1.376,1.058,1.101,1.672,1.187,1.715,1.396,0.614,0.974,0.402,1.08,0.698,1.587,1.672,1.566,0.657,1.439,1.122,3.027,1.354,0.74,1.249,1.037,2.413,3.175,1.947,1.545,0.784,1.185,0.72,0.868,1.947,0.381,0.868,0.762,1.164,1.227,1.416,1.714,0.889,0.762,1.461,0.847,0.804
