Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1918,1.199,NA,NA,NA,1.064,0.722,NA,NA,0.635,NA,NA,NA,NA,NA,NA,1.376,NA,NA,NA,1.382,NA,0.365,0.477,NA,NA,0.174,NA,NA,NA,NA,NA,0.529,NA,2.144,0.763,NA,NA,NA,0.842,1.342,0.881,NA,NA,NA,0.453,0.583,0.8,NA,NA,NA,NA,0.976,NA,NA,NA,NA,NA,NA
1919,1.103,NA,NA,NA,1.293,0.833,NA,NA,0.77,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,2.039,NA,0.318,0.809,NA,NA,0.223,NA,NA,NA,NA,NA,0.466,1.91,1.711,0.599,NA,NA,NA,1.111,1.42,1.08,NA,NA,NA,0.493,0.79,0.817,NA,NA,NA,NA,1.119,NA,NA,NA,NA,NA,NA
1920,1.199,NA,NA,NA,1.143,1.072,NA,NA,0.54,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,1.374,NA,0.487,0.754,NA,NA,0.246,NA,NA,NA,NA,NA,0.529,2.405,1.504,0.71,NA,NA,NA,1.405,1.397,0.762,0.706,1.524,NA,0.397,0.762,0.783,NA,NA,NA,NA,0.961,NA,NA,NA,NA,NA,NA
1921,1.404,NA,NA,NA,1.54,1.048,NA,NA,0.754,NA,NA,NA,NA,NA,NA,1.525,NA,NA,NA,0.865,NA,0.613,0.707,NA,NA,0.373,NA,NA,NA,NA,NA,0.699,1.58,1.945,0.69,NA,NA,NA,1.945,1.874,0.968,1.143,1.618,NA,0.413,1.206,1.185,NA,NA,NA,NA,1.174,NA,NA,NA,NA,NA,NA
1922,1.31,NA,NA,0.77,1.096,0.809,NA,NA,0.659,NA,NA,1.324,NA,NA,NA,0.995,NA,NA,NA,0.984,NA,0.545,0.571,1.34,NA,0.484,NA,NA,NA,NA,NA,0.973,1.599,2.127,0.524,0.403,NA,NA,2.016,1.889,1.032,1.151,1.789,NA,0.524,1.313,1.17,NA,NA,NA,NA,1.786,NA,NA,NA,NA,0.964,NA
1923,2.048,NA,1.246,0.93,1.119,1.112,NA,NA,1.246,0.858,NA,1.1,NA,NA,NA,0.592,2.039,NA,NA,1.349,NA,0.577,0.827,1.331,NA,0.357,NA,NA,NA,NA,NA,1.27,3.192,3.135,1.31,0.36,NA,NA,1.722,2.46,1.318,1.215,2.257,NA,0.555,1.714,1.171,NA,NA,0.232,NA,1.897,NA,NA,NA,NA,0.739,NA
1924,1.746,NA,1.093,1.038,0.992,1.095,NA,NA,1.214,0.838,NA,1.034,NA,NA,2.101,0.805,2.062,NA,0.859,0.985,NA,0.651,0.89,1.483,NA,0.548,NA,NA,NA,NA,NA,0.995,2.028,2.183,1.222,0.254,NA,NA,1.691,1.755,1.135,1.143,1.887,NA,0.564,1.503,1.324,NA,NA,0.864,NA,1.381,NA,NA,NA,NA,0.862,NA
1925,1.834,NA,1.104,0.952,1.064,1.397,NA,NA,1.151,0.692,NA,1.455,NA,NA,1.814,0.719,2.208,NA,0.716,0.793,NA,0.884,1.309,1.106,NA,0.476,NA,NA,NA,NA,NA,1.101,2.556,1.937,0.841,0.423,NA,NA,1.357,2.032,1.444,0.762,2.287,NA,0.762,1.312,1.134,NA,NA,0.78,NA,1.731,NA,NA,NA,NA,0.824,NA
1926,2.01,NA,1.477,0.969,1.5,1.564,NA,NA,1.263,1.013,NA,2.154,NA,NA,2.033,0.83,3.381,NA,0.902,0.961,NA,0.54,0.961,1.367,NA,0.373,NA,NA,NA,NA,NA,0.571,2.635,2.192,0.651,0.614,NA,NA,1.762,2.508,2.112,0.825,2.453,NA,1.119,1.313,1.293,NA,NA,0.737,0.643,2.278,NA,NA,NA,NA,0.866,NA
1927,1.707,NA,1.351,0.914,1.047,1.127,NA,NA,0.992,0.944,NA,1.35,NA,NA,1.336,0.55,1.413,NA,0.678,0.897,NA,0.645,1.016,1.127,NA,0.365,NA,NA,NA,NA,NA,1.207,2.318,1.611,0.667,0.656,NA,NA,1.112,1.762,1.325,0.984,1.73,NA,1.318,1.375,1.151,NA,NA,0.671,0.721,1.659,NA,NA,NA,NA,0.892,NA
1928,2.182,NA,1.294,1.326,1.191,1.286,NA,NA,1.19,1.441,NA,2.476,NA,NA,2.118,1.631,1.397,0.54,0.937,0.873,NA,0.609,0.825,1.633,NA,0.532,NA,NA,NA,NA,NA,1.799,2.905,2.405,0.953,0.656,NA,NA,1.516,2.143,1.477,1.294,1.976,NA,1.302,1.27,1.341,NA,NA,0.911,0.968,2.397,NA,NA,NA,NA,1.098,NA
