PLOT_CN,year,JunAug_tmax,pJunAug_tmax,AprMay_tmax,pAprMay_tmax,JunAug_ppt,pJunAug_ppt,pJunAug_JunAug_ppt,prevJun_currAug_ppt,meantemp,precip
11806586010690,1896,0.6415620876484689,NA,-2.496518340025949,NA,-0.8190587098867339,NA,NA,NA,0.7726206108854298,-0.013194593220571295
11806586010690,1897,-0.09806918432053174,0.6335886003653407,1.6962864837819764,-2.496327465590018,0.6050886087562027,-0.8110671302605045,-0.1403731231302981,-0.1543414689665908,0.7726206108854298,-0.013194593220571295
11806586010690,1898,1.2282385143656447,-0.10633382228725201,0.711467444356302,1.687345895910609,-0.03284982119534108,0.6153346857864148,0.38231101116085653,0.02509051815684694,0.7726206108854298,-0.013194593220571295
11806586010690,1899,-0.5522194473686162,1.2204959681597256,-0.9457663535411398,0.7046716827565895,-0.48618502670486147,-0.02361363304066819,-0.3431850034862389,-0.6790825795809573,0.7726206108854298,-0.013194593220571295
11806586010690,1900,0.40820084288785674,-0.5606628584139651,1.185848205194099,-0.9489528443553503,-1.431033558094659,-0.4776664911627912,-1.2727197195304536,-0.7089979276363719,0.7726206108854298,-0.013194593220571295
11806586010690,1901,0.43360631178090553,0.40013549458084957,0.892318121196261,1.178019295089047,-0.09712197729255773,-1.424010765677819,-1.0140644358116129,-0.35274299820447574,0.7726206108854298,-0.013194593220571295
11806586010690,1902,-0.10016430562336326,0.4255509641592608,0.18778934214359627,0.8851284869484738,-0.361281839810185,-0.08798753521932788,-0.3028765329265909,-1.1377282035842848,0.7726206108854298,-0.013194593220571295
11806586010690,1903,0.32622335217797327,-0.10842976831994912,-0.08573996574571228,0.18213409317265197,-0.5870350655735995,-0.3525655761911687,-0.6285785214303056,-1.1781397589292502,0.7726206108854298,-0.013194593220571295
11806586010690,1904,0.16148257538163066,0.3181257340043935,0.5199124521879076,-0.0907994983239569,-0.48700149702435297,-0.578676180755752,-0.7121589427910231,-0.8874542057638588,0.7726206108854298,-0.013194593220571295
11806586010690,1905,-0.47809941087242763,0.1533201081520449,-0.2294065456831302,0.5135338760438186,0.0017030582092505593,-0.47848425399619027,-0.32075650384654664,-1.8783062496576244,0.7726206108854298,-0.013194593220571295
