TRE_CN,PLOT_CN,MEASYEAR,DIA
295705793489998,40420989010690,2013,27.6
295705804489998,40421014010690,2013,12.4
295705564489998,40406874010690,2012,10.3
295705565489998,40406874010690,2012,3.9
295706099489998,40421476010690,2014,9.1
295706100489998,40421476010690,2014,5.3
295705618489998,40407564010690,2012,9.8
295705619489998,40407564010690,2012,6.5
295705627489998,40407634010690,2012,7.2
295705868489998,40407635010690,2013,8
295705646489998,40407655010690,2012,10.9
295708480489998,40418147010690,2015,5.1
295708581489998,40422684010690,2015,9.3
295708593489998,40422709010690,2015,7.6
295711726489998,40421473010690,2016,10.3
558533439126144,40418449010690,2018,10.4
558533450126144,40418776010690,2018,10.3
558531339126144,40418366010690,2017,7.9
558531401126144,40420692010690,2017,13.4
558531403126144,40420692010690,2017,5.8
558531454126144,40422794010690,2017,12.9
558531455126144,40422794010690,2017,6.4
558533492126144,40420584010690,2018,6.2
558533515126144,40421040010690,2018,15.3
