TRE_CN,MEASYEAR,Year,RW,DIA_t,DIA_bc
11807271010690,2016,1782,0.12,5.5,3.021258503999999
11807271010690,2016,1783,0.12,5.5,3.030707327999999
11807271010690,2016,1784,0.15,5.5,3.0425183579999993
11807271010690,2016,1785,0.14,5.5,3.053541985999999
11807271010690,2016,1786,0.15,5.5,3.065353015999999
11807271010690,2016,1787,0.16,5.5,3.077951447999999
11807271010690,2016,1788,0.16,5.5,3.090549879999999
11807271010690,2016,1789,0.12,5.5,3.099998703999999
11807271010690,2016,1790,0.14,5.5,3.111022331999999
11807271010690,2016,1791,0.17,5.5,3.124408165999999
11807271010690,2016,1792,0.15,5.5,3.136219195999999
11807271010690,2016,1793,0.15,5.5,3.148030225999999
11807271010690,2016,1794,0.12,5.5,3.157479049999999
11807271010690,2016,1795,0.11,5.5,3.166140471999999
11807271010690,2016,1796,0.17,5.5,3.179526305999999
11807271010690,2016,1797,0.13,5.5,3.189762531999999
11807271010690,2016,1798,0.11,5.5,3.198423953999999
11807271010690,2016,1799,0.13,5.5,3.208660179999999
11807271010690,2016,1800,0.1,5.5,3.216534199999999
11807271010690,2016,1801,0.1,5.5,3.224408219999999
11807271010690,2016,1802,0.11,5.5,3.233069641999999
11807271010690,2016,1803,0.12,5.5,3.242518465999999
11807271010690,2016,1804,0.11,5.5,3.251179887999999
11807271010690,2016,1805,0.12,5.5,3.260628711999999
11807271010690,2016,1806,0.1,5.5,3.268502731999999
11807271010690,2016,1807,0.1,5.5,3.276376751999999
11807271010690,2016,1808,0.1,5.5,3.284250771999999
11807271010690,2016,1809,0.11,5.5,3.292912193999999
11807271010690,2016,1810,0.1,5.5,3.300786213999999
11807271010690,2016,1811,0.13,5.5,3.311022439999999
11807271010690,2016,1812,0.1,5.5,3.318896459999999
11807271010690,2016,1813,0.15,5.5,3.330707489999999
11807271010690,2016,1814,0.08,5.5,3.337006705999999
11807271010690,2016,1815,0.11,5.5,3.345668127999999
11807271010690,2016,1816,0.11,5.5,3.3543295499999988
11807271010690,2016,1817,0.11,5.5,3.3629909719999986
11807271010690,2016,1818,0.13,5.5,3.3732271979999986
11807271010690,2016,1819,0.12,5.5,3.3826760219999987
11807271010690,2016,1820,0.12,5.5,3.392124845999999
11807271010690,2016,1821,0.1,5.5,3.399998865999999
11807271010690,2016,1822,0.11,5.5,3.4086602879999988
11807271010690,2016,1823,0.07,5.5,3.414172101999999
11807271010690,2016,1824,0.08,5.5,3.420471317999999
11807271010690,2016,1825,0.08,5.5,3.4267705339999988
11807271010690,2016,1826,0.08,5.5,3.4330697499999987
11807271010690,2016,1827,0.1,5.5,3.4409437699999987
11807271010690,2016,1828,0.09,5.5,3.448030387999999
11807271010690,2016,1829,0.07,5.5,3.453542201999999
11807271010690,2016,1830,0.12,5.5,3.462991025999999
11807271010690,2016,1831,0.07,5.5,3.4685028399999993
11807271010690,2016,1832,0.08,5.5,3.4748020559999993
11807271010690,2016,1833,0.09,5.5,3.4818886739999995
11807271010690,2016,1834,0.07,5.5,3.4874004879999996
11807271010690,2016,1835,0.07,5.5,3.4929123019999997
11807271010690,2016,1836,0.03,5.5,3.4952745079999996
11807271010690,2016,1837,0.05,5.5,3.4992115179999996
11807271010690,2016,1838,0.06,5.5,3.5039359299999995
11807271010690,2016,1839,0.03,5.5,3.5062981359999994
11807271010690,2016,1840,0.02,5.5,3.5078729399999995
11807271010690,2016,1841,0.05,5.5,3.5118099499999995
11807271010690,2016,1842,0.06,5.5,3.5165343619999994
11807271010690,2016,1843,0.06,5.5,3.521258773999999
11807271010690,2016,1844,0.05,5.5,3.5251957839999992
11807271010690,2016,1845,0.05,5.5,3.5291327939999992
11807271010690,2016,1846,0.03,5.5,3.531494999999999
11807271010690,2016,1847,0.04,5.5,3.5346446079999994
11807271010690,2016,1848,0.04,5.5,3.5377942159999995
11807271010690,2016,1849,0.02,5.5,3.5393690199999996
