TRE_CN,Year,RW,MEASYEAR,DIA
2871944010690,1945,0.97,1994,9.6
2871944010690,1946,0.91,1994,9.6
2871944010690,1947,0.95,1994,9.6
2871944010690,1948,1.48,1994,9.6
2871944010690,1949,1.17,1994,9.6
2871944010690,1950,0.99,1994,9.6
2871944010690,1951,0.86,1994,9.6
2871944010690,1952,1.09,1994,9.6
2871944010690,1953,1.17,1994,9.6
2871944010690,1954,1.18,1994,9.6
2871944010690,1955,1.07,1994,9.6
2871944010690,1956,0.93,1994,9.6
2871944010690,1957,1.41,1994,9.6
2871944010690,1958,1.3,1994,9.6
2871944010690,1959,0.93,1994,9.6
2871944010690,1960,0.9,1994,9.6
2871944010690,1961,1.02,1994,9.6
2871944010690,1962,1.25,1994,9.6
2871944010690,1963,1.08,1994,9.6
2871944010690,1964,1.54,1994,9.6
2871944010690,1965,1.45,1994,9.6
2871944010690,1966,1.13,1994,9.6
2871944010690,1967,1.17,1994,9.6
2871944010690,1968,1.32,1994,9.6
2871944010690,1969,1.76,1994,9.6
2871944010690,1970,1.53,1994,9.6
2871944010690,1971,1.41,1994,9.6
2871944010690,1972,1.45,1994,9.6
2871944010690,1973,1.51,1994,9.6
2871944010690,1974,0.76,1994,9.6
2871944010690,1975,1.15,1994,9.6
2871944010690,1976,1.29,1994,9.6
2871944010690,1977,0.6,1994,9.6
2871944010690,1978,0.97,1994,9.6
2871944010690,1979,0.96,1994,9.6
2871944010690,1980,0.78,1994,9.6
2871944010690,1981,0.99,1994,9.6
2871944010690,1982,0.93,1994,9.6
2871944010690,1983,1.09,1994,9.6
2871944010690,1984,0.98,1994,9.6
2871944010690,1985,1.34,1994,9.6
2871944010690,1986,1.31,1994,9.6
2871944010690,1987,1.17,1994,9.6
2871944010690,1988,1.32,1994,9.6
2871944010690,1989,0.5,1994,9.6
2871944010690,1990,0.94,1994,9.6
2871944010690,1991,0.88,1994,9.6
2871944010690,1992,0.66,1994,9.6
2871944010690,1993,0.77,1994,9.6
2871944010690,1994,0.8,1994,9.6
2872528010690,1889,0.83,1994,16.6
2872528010690,1890,1.44,1994,16.6
2872528010690,1891,1.19,1994,16.6
2872528010690,1892,1.15,1994,16.6
2872528010690,1893,0.98,1994,16.6
2872528010690,1894,1.27,1994,16.6
2872528010690,1895,1.14,1994,16.6
2872528010690,1896,1.49,1994,16.6
2872528010690,1897,0.94,1994,16.6
2872528010690,1898,1.54,1994,16.6
2872528010690,1899,1.11,1994,16.6
2872528010690,1900,1.01,1994,16.6
2872528010690,1901,1.42,1994,16.6
2872528010690,1902,1.45,1994,16.6
2872528010690,1903,1.17,1994,16.6
2872528010690,1904,1.05,1994,16.6
2872528010690,1905,1,1994,16.6
2872528010690,1906,1.09,1994,16.6
2872528010690,1907,1.33,1994,16.6
2872528010690,1908,1.27,1994,16.6
2872528010690,1909,1.38,1994,16.6
2872528010690,1910,1.19,1994,16.6
2872528010690,1911,1.19,1994,16.6
2872528010690,1912,1.42,1994,16.6
2872528010690,1913,1.45,1994,16.6
2872528010690,1914,1.28,1994,16.6
2872528010690,1915,1.25,1994,16.6
2872528010690,1916,1.5,1994,16.6
2872528010690,1917,1.66,1994,16.6
2872528010690,1918,1.33,1994,16.6
2872528010690,1919,1.27,1994,16.6
2872528010690,1920,1.46,1994,16.6
2872528010690,1921,1.86,1994,16.6
2872528010690,1922,1.93,1994,16.6
2872528010690,1923,1.39,1994,16.6
2872528010690,1924,1.28,1994,16.6
2872528010690,1925,1.21,1994,16.6
2872528010690,1926,1.49,1994,16.6
2872528010690,1927,1.52,1994,16.6
2872528010690,1928,1.54,1994,16.6
2872528010690,1929,1.41,1994,16.6
2872528010690,1930,1.58,1994,16.6
2872528010690,1931,1.68,1994,16.6
2872528010690,1932,1.82,1994,16.6
2872528010690,1933,2.13,1994,16.6
2872528010690,1934,1.67,1994,16.6
2872528010690,1935,1.43,1994,16.6
2872528010690,1936,1.68,1994,16.6
2872528010690,1937,1.81,1994,16.6
2872528010690,1938,1.49,1994,16.6
2872528010690,1939,1.58,1994,16.6
2872528010690,1940,1.76,1994,16.6
2872528010690,1941,1.33,1994,16.6
2872528010690,1942,1.46,1994,16.6
2872528010690,1943,1.21,1994,16.6
2872528010690,1944,1.55,1994,16.6
2872528010690,1945,1.82,1994,16.6
2872528010690,1946,1.59,1994,16.6
2872528010690,1947,1.74,1994,16.6
2872528010690,1948,1.6,1994,16.6
2872528010690,1949,1.22,1994,16.6
2872528010690,1950,1.11,1994,16.6
2872528010690,1951,1.15,1994,16.6
2872528010690,1952,1.5,1994,16.6
2872528010690,1953,1.38,1994,16.6
2872528010690,1954,1.37,1994,16.6
2872528010690,1955,1.15,1994,16.6
2872528010690,1956,0.98,1994,16.6
2872528010690,1957,1.16,1994,16.6
2872528010690,1958,1.29,1994,16.6
2872528010690,1959,0.99,1994,16.6
2872528010690,1960,0.8,1994,16.6
2872528010690,1961,1.05,1994,16.6
2872528010690,1962,1.15,1994,16.6
2872528010690,1963,1.16,1994,16.6
2872528010690,1964,1.3,1994,16.6
2872528010690,1965,1.23,1994,16.6
2872528010690,1966,1.18,1994,16.6
2872528010690,1967,1.13,1994,16.6
2872528010690,1968,1.43,1994,16.6
2872528010690,1969,1.55,1994,16.6
2872528010690,1970,1.12,1994,16.6
2872528010690,1971,1.06,1994,16.6
2872528010690,1972,1.08,1994,16.6
2872528010690,1973,1.15,1994,16.6
2872528010690,1974,0.97,1994,16.6
2872528010690,1975,0.98,1994,16.6
2872528010690,1976,1.13,1994,16.6
2872528010690,1977,0.84,1994,16.6
2872528010690,1978,0.79,1994,16.6
2872528010690,1979,0.83,1994,16.6
2872528010690,1980,0.6,1994,16.6
2872528010690,1981,0.64,1994,16.6
2872528010690,1982,0.64,1994,16.6
2872528010690,1983,0.7,1994,16.6
2872528010690,1984,0.88,1994,16.6
2872528010690,1985,0.81,1994,16.6
2872528010690,1986,0.76,1994,16.6
2872528010690,1987,0.74,1994,16.6
2872528010690,1988,0.91,1994,16.6
2872528010690,1989,0.83,1994,16.6
2872528010690,1990,0.63,1994,16.6
2872528010690,1991,0.88,1994,16.6
2872528010690,1992,0.93,1994,16.6
2872528010690,1993,0.99,1994,16.6
2872528010690,1994,0.62,1994,16.6
2872771010690,1874,0.49,1994,15.6
2872771010690,1875,1.6,1994,15.6
2872771010690,1876,1.63,1994,15.6
2872771010690,1877,2.03,1994,15.6
2872771010690,1878,2.02,1994,15.6
2872771010690,1879,1.72,1994,15.6
2872771010690,1880,2.07,1994,15.6
2872771010690,1881,2.68,1994,15.6
2872771010690,1882,3.04,1994,15.6
2872771010690,1883,2.54,1994,15.6
2872771010690,1884,2.91,1994,15.6
2872771010690,1885,2.6,1994,15.6
2872771010690,1886,2.16,1994,15.6
2872771010690,1887,3.02,1994,15.6
2872771010690,1888,2.61,1994,15.6
