PLOT_CN,meantemp,precip,LAT,LON,dataset
11806586010690,1.8210056370303214,77.74635577434535,44.814151,-114.663375,FIA
12283667010690,1.9420878299435582,72.18724324775708,44.715715,-114.595441,FIA
188773542020004,1.6530442943951387,65.01246241513674,45.081867,-114.459731,FIA
2976020010690,2.2110405411300675,95.05612316038516,48.647214,-114.356269,FIA
2976020010690,2.2110405411300675,95.05612316038516,48.647214,-114.356269,FIA
3118347010690,1.47321584398921,91.03089716484597,46.020855,-113.775947,FIA
3315056010690,2.051614117410101,100.30288142842932,45.481481,-114.841106,FIA
356008799489998,0.4013806334488265,85.36021551069197,45.456209,-113.043053,FIA
40405619010690,-0.6794102775656994,56.62086859390184,43.796064,-109.327158,FIA
40405670010690,-0.2358457201517778,56.06915245167128,43.390609,-109.523725,FIA
40405766010690,-0.2701433845893579,68.7152236623091,42.934407,-109.339972,FIA
40405776010690,-0.017118613268689253,57.30483031096133,42.886294,-109.165075,FIA
40405821010690,-0.8054924853233126,79.38212378810833,42.617244,-109.048967,FIA
40406795010690,-0.32146096041051286,78.47951660929499,44.294457,-109.622942,FIA
40406795010690,-0.32146096041051286,78.47951660929499,44.294457,-109.622942,FIA
40406817010690,0.010048051322681016,87.62201200269006,44.1609,-109.816783,FIA
40406874010690,-0.5361888150232859,78.21707882045267,44.046749,-109.845239,FIA
40406874010690,-0.5361888150232859,78.21707882045267,44.046749,-109.845239,FIA
40407564010690,0.11082131672802989,85.81555698046813,44.200563,-110.177689,FIA
40407564010690,0.11082131672802989,85.81555698046813,44.200563,-110.177689,FIA
40407634010690,2.0042819056191306,66.5131749462437,43.489148,-110.623825,FIA
40407635010690,0.6407252213854397,46.2136906427541,43.490615,-110.323606,FIA
40407655010690,0.09660474256154036,171.7836597473011,43.741882,-110.832245,FIA
40418122010690,-1.3160769592576615,98.57751728621152,43.847081,-109.884837,FIA
40418122010690,-1.3160769592576615,98.57751728621152,43.847081,-109.884837,FIA
40418147010690,0.8395743239920953,32.48888510984701,43.700093,-109.381474,FIA
40418185010690,0.4576013475103187,37.13220487870612,43.53398,-109.886847,FIA
40418366010690,1.4818476068488549,50.255310811616994,43.162852,-109.336734,FIA
40418411010690,-0.35922297115812457,57.61431899465419,43.070007,-109.459915,FIA
40418449010690,1.2540180155274658,49.81932280859253,42.982764,-109.217517,FIA
40418767010690,-0.19408858871204904,55.24839338051664,43.13462,-109.421581,FIA
40418767010690,-0.19408858871204904,55.24839338051664,43.13462,-109.421581,FIA
40418767010690,-0.19408858871204904,55.24839338051664,43.13462,-109.421581,FIA
40418767010690,-0.19408858871204904,55.24839338051664,43.13462,-109.421581,FIA
40418776010690,-0.9277601386713652,64.60439724101498,43.054056,-109.368928,FIA
40420584010690,-0.3584354319543715,88.1805427514755,44.934214,-110.869415,FIA
40420644010690,0.7688637448330732,67.43354119051683,44.836035,-109.868291,FIA
40420644010690,0.7688637448330732,67.43354119051683,44.836035,-109.868291,FIA
40420692010690,0.9875964728757729,51.12039791445832,44.752241,-110.427655,FIA
40420692010690,0.9875964728757729,51.12039791445832,44.752241,-110.427655,FIA
40420699010690,1.2307616356123912,61.5339939361578,44.741694,-109.743225,FIA
40420699010690,1.2307616356123912,61.5339939361578,44.741694,-109.743225,FIA
40420799010690,0.997307438186007,70.7443919933594,44.522611,-109.867769,FIA
40420927010690,-0.07925825203417913,88.18745332115047,44.162996,-109.88141,FIA
40420927010690,-0.07925825203417913,88.18745332115047,44.162996,-109.88141,FIA
40420927010690,-0.07925825203417913,88.18745332115047,44.162996,-109.88141,FIA
40420927010690,-0.07925825203417913,88.18745332115047,44.162996,-109.88141,FIA
40420989010690,-1.6557548811799754,74.7748910917176,43.971998,-109.563831,FIA
40421014010690,0.1751159968633518,74.41624768762975,44.988528,-109.704538,FIA
40421037010690,1.189717337810931,52.81258344086441,44.680158,-110.847163,FIA
40421040010690,-0.2634399359993001,59.05060057121668,44.675946,-110.590935,FIA
40421473010690,1.1033873933632423,46.855578062479736,43.16855,-110.202062,FIA
40421476010690,0.8235900929307267,41.997292886146234,43.166636,-109.955699,FIA
40421476010690,0.8235900929307267,41.997292886146234,43.166636,-109.955699,FIA
40421773010690,-0.5928592342457191,80.94463819634538,43.149753,-109.74961,FIA
40421773010690,-0.5928592342457191,80.94463819634538,43.149753,-109.74961,FIA
40421773010690,-0.5928592342457191,80.94463819634538,43.149753,-109.74961,FIA
40422684010690,0.2860945985542734,125.59199103757784,44.255793,-110.877204,FIA
40422709010690,0.0666944453620012,84.27710589668057,44.161614,-110.311799,FIA
40422794010690,0.09660474256154036,171.7836597473011,43.764832,-110.816743,FIA
40422794010690,0.09660474256154036,171.7836597473011,43.764832,-110.816743,FIA
5393380010690,2.756837080741111,55.03497373601338,44.77322,-114.536356,FIA
5393622010690,1.3794110389623435,77.69877995098675,45.21643,-113.670561,FIA
547769069126144,1.7004328124640635,92.27678602428229,45.053313,-115.350382,FIA
548482189126144,1.6433333242210693,163.61368378254028,47.501676,-113.92913,FIA
667906986126144,2.422035289291616,71.53536103804409,43.735781,-114.704125,FIA
667907011126144,1.8801404051699864,104.07763970663419,44.421596,-115.249335,FIA
667907033126144,1.5142770235092162,57.364478213293054,44.582734,-113.58593,FIA
667907067126144,1.0354883653991338,70.7091921143979,43.909735,-114.382399,FIA
667907208126144,2.9774557016775494,95.82692635587945,45.1958,-116.623776,FIA
667907263126144,5.009257508970919,64.66437310701957,48.617116,-116.24983,FIA
667907270126144,3.3645848335332307,61.28404579304897,45.190334,-115.480636,FIA
